atoms,coordinates,total_energy,forces
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.7818211068687466, 1.6471066166091504, 0.4835006079693047], [0.17347191347588703, -1.3675713922564614, 0.1855772973385667], [-1.4915441725646092, 0.7260543276788569, 4.040545334340883], [-1.5966736087797622, 2.6109111233010642, 1.8245179012406743], [1.4713721550521193, 3.6556434869940753, 2.535701204820382], [0.9691283846871074, 2.4520016226870376, 5.251569490751151], [4.497459676471197, 2.5778127456791817, 3.0503933488769976], [0.0632910064941902, -1.6193362183227482, 3.128665829816833], [3.8648835870503064, 0.4946780672747317, 1.1044588150645978], [3.510494698934635, 0.9255160553587178, 5.404711693883339], [3.137235074663827, -1.409385325873098, 3.2215601633044435]]",[-64250.79296875],"[[0.7273500587410425, -0.3394438085330294, -1.1004178473591717], [0.03350136924994155, 0.3007025590045611, 0.46018041129739684], [0.06886107118299627, 0.7549956036151197, 0.49403933891891577], [-1.1169695901962462, 0.09432806772528676, 0.2791337169585118], [0.08005283230445479, 0.012041320923043443, 0.2770383181488065], [-0.5186612133861245, -0.26067688847266157, -0.28804799364398787], [0.282696290885116, 0.32934420121459257, 0.606015519895808], [0.4081039221821395, -0.4575360302380066, -0.34910277994873573], [-0.08499069007030824, -0.36735422860082406, -0.4080512145382722], [0.33367604963120123, -0.39417912831541047, -0.407845629016144], [-0.22503227729901074, 0.31629790236037936, 0.4388266678604176]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.6047381366967768, 1.9333966079888631, 0.47537778847161927], [-1.2644841800877482, -0.010654662833790352, 1.6522321748038968], [1.2646235981515432, 0.010585386442943379, -1.6523456665884408], [-0.6048775547605725, -1.9333273315980182, -0.4752642966870755], [-3.754474333102271, -2.9101017160440374, 0.6165103330369952], [-3.2973222313267394, 0.45730899523886137, -2.699723072805907], [-6.252370132261705, -0.31833372769847434, -2.4747086376395964], [-4.5190956494324075, -0.15425481382229078, 0.04791399207675706], [-3.679394054512514, -4.0135824467986385, -2.144542956512695], [-1.9290689547358149, -2.001232083961015, -3.4627806679623294], [-6.341590323164658, -3.153448337441631, -3.1468878981416952]]",[-64250.76953125],"[[0.35103475935140666, -0.3329493526330232, -0.4126680956084968], [-0.3415201811688509, -0.10486579126396675, -0.16178001933277555], [0.4649674994907441, 1.041146173501977, -0.2266846233676814], [-0.16707032411430348, -0.8260665906057653, 0.12427284858008379], [0.04132140439547787, -0.11586703353612939, -0.015103295645928218], [-0.32520703683669766, 0.28103710567826545, 0.25947165749026024], [-0.05284658635872708, 0.1980386102798658, -0.07452130649133519], [-0.029704151177258536, 0.15847661274772368, -0.22054307728217393], [-0.4034573705650745, -0.23764863604554165, 0.1354984968598921], [0.35797746162369687, 0.19533545376980202, 0.7083537096703578], [0.0949254381631465, -0.2597524735323668, -0.12610753738548947]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.2629651091062487, 0.9117488647472494, 1.8518310016184898], [-1.4502639251421408, -1.2464716315023663, 0.8197243087042373], [1.4504249492196097, 1.246510992244366, -0.8198224870035948], [-0.2631261331837176, -0.9117882254892499, -1.851732823319134], [-3.683845482241669, -0.30374611051368205, -1.96108492103702], [-3.195535627692437, 3.8356199814311, -4.235518650002735], [-0.5041828328368605, 3.0634802602622213, -2.9925457576533803], [-2.2951014410827, 0.9021355405559661, -4.223799913382276], [-3.848778012373, 2.0402624917313363, -0.13758746498756835], [-5.031665019034484, 4.053056099304888, -1.9816001613623724], [-1.0104482014423568, 2.92091465560708, -0.12531181602722574]]",[-64250.26953125],"[[0.02262105116833337, -0.13670203091327138, 0.7870737327832065], [0.013311266607695516, -0.20699135068984212, -0.10596889797249452], [1.2543030843940934, -0.27581092424493503, -0.19614802566091502], [-0.1315002749734405, -0.32895807272893457, 0.07449430989325682], [-0.5655884999391435, -0.3541849281035566, -0.18350281912100894], [0.05306389611773503, 0.202898666421162, -0.48589397676880314], [-0.3619684844173276, -0.006156437923228423, -0.8990386523220433], [0.32616641879926533, 0.2980670225449222, 0.007136141896387706], [-0.30065406797220323, 0.04394780314944341, 0.09761825883280313], [0.10630298730147575, -0.23486994048295004, 0.4261904601865376], [-0.41044954088946256, 0.9945814126945818, 0.4900219365923056]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-1.4030754652378, -1.331074304150951, -0.7676816626748957], [0.4547755551815453, 0.6330764058075928, -1.9290667126381495], [-0.45473448373061964, -0.6331433451236208, 1.9292426366668916], [1.4030343937868754, 1.3311412434669798, 0.7675057386461546], [2.8726303874718018, 1.320071434556779, -3.9900512569673663], [2.270033684206584, -1.637153507908661, -0.32432557198722023], [5.21980843230811, -1.6697883629195187, -1.1503553100717505], [3.6473647956726594, 0.9607139040943546, -1.2019894809526004], [2.609916697331825, -1.5206655310138104, -4.831429322147831], [0.81631418848082, -2.5360606312096508, -2.6859910377055467], [5.219830943357075, -2.604218149458069, -3.9116052126730647]]",[-64248.92578125],"[[-2.0396145820989275, -1.0469342441299783, 0.4314726916996879], [-0.8105890552617517, 0.1830192971939025, -1.1316094596684567], [-0.12145455800697724, -0.05704643426625541, 0.4261768333322695], [-0.43842495848101154, 0.8307393160674433, 1.4205208816521278], [0.14969166262256584, 0.12144777029088896, -0.47744044202386443], [0.6650609365500603, -0.3013678580253952, 0.6481415257582044], [0.04831236115850471, -0.16490982493666065, -0.043513569297114356], [2.2429493592787613, 0.44956421764696913, -0.3252621098967775], [0.6316252641643186, 0.032919949944889254, -0.4374195537464816], [-0.5739584737852682, 0.04300127670977015, -0.18772344155353468], [0.24653874434797615, -0.11376093893137586, -0.30724144359169053]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.9008304228011275, 1.7450576458907059, 0.29599559070231474], [0.16722969850348032, -1.0036149087028836, 0.150151165960529], [-1.4642457673115699, 0.8857444712310716, 4.146068759209268], [-1.6263979829348005, 2.7360865015395692, 1.8110050983745296], [1.5836026228039168, 3.665320268523476, 2.717690241178057], [1.0964822907145617, 2.5787721816327993, 5.260550731712817], [4.452894615493353, 2.5630315084100204, 3.174757779383116], [0.08733192382492129, -1.8452315737005756, 3.2002697849761996], [3.7192264457301585, 0.5053556906284071, 1.1819073018126076], [3.4965608688890164, 0.9331970714023656, 5.4568556143764875], [3.060527478800784, -1.390566512867592, 3.2289706098162494]]",[-64250.51953125],"[[0.3179074138267657, 0.9500442249581007, 0.2860659291241201], [-0.24804011515577426, -1.0904697295225232, 0.8258156507988653], [0.3995550508794155, 0.50455047723625, -0.2901600532113644], [-0.3446664932641325, -0.5374729571480449, 0.4825743722249042], [-0.02051259114736729, 0.4706672783875063, -1.4020948035770413], [-1.1085322534101545, -0.6640448360204823, 0.6984986658194651], [0.7021311223685236, 0.4896052119621588, 0.27498158875196765], [-0.07765980242869694, 0.7461628309447946, -0.9151430229623906], [0.15435785747861358, 0.09123888557374815, -0.8578259028060694], [0.47174462262815364, -0.8623926987590971, -0.03409507843488095], [-0.26672705750143527, -0.0913079454427372, 0.9221256287777452]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.9765876630398881, 1.6551172749673722, 0.14804821635602688], [0.31161140022190953, -1.318512589286148, 0.3686442974789663], [-1.5112759920449421, 0.9892584156457511, 4.207603806228525], [-1.6925745196113275, 2.6180739831177524, 1.797314558979584], [1.609377461428357, 3.737340256686903, 2.5789362499354294], [0.9031423556480894, 2.435721425845965, 5.025623110321416], [4.489702179820359, 2.715005399033763, 3.216482090998348], [-0.06545260383791712, -1.719429501575997, 3.0078016574708264], [3.7959055965193973, 0.31913942818111257, 1.0645272099114065], [3.525607823515454, 0.8593561426040938, 5.270253559028406], [2.933855276621616, -1.4182239119157407, 3.2995908519831483]]",[-64250.7734375],"[[0.08967843078272708, 0.3382136378362128, 0.7227035585460692], [0.10963688718683327, 0.28286845204771854, -1.912184468518056], [-0.2799696859012927, -0.29778337828777884, -0.5318005862260936], [0.09370514050791283, -0.2436150899092266, -0.030687182159742903], [-0.0803472237787379, -0.07062160933234671, -1.1731255995247398], [0.28914117588884114, -0.08902094791981285, 0.7705286748180372], [0.33608332342632613, -0.30807345303342, -0.4845814278812788], [-0.19638276750896785, -0.12000013556878968, 1.8201142419897691], [-0.3193710408193457, 0.6444838723842727, 0.1342423065847371], [0.008557659338174612, -0.24589797366482471, 0.4110200175734271], [-0.05004047767911531, 0.10203392525868366, 0.272139438328369]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-1.5117094426467859, -0.05867936019777749, 1.4286378103738622], [-1.427937132599575, -0.043050894930452624, -1.5126291973839758], [1.4280952997815495, 0.04299122726328976, 1.5127216090284898], [1.511551275464813, 0.058739027864940355, -1.4287302220183773], [-0.8611003329405977, 6.616347740941881, -0.7377125796173523], [-4.217317019361095, 4.302684226464584, 1.6971627026544467], [-1.610202840249383, 4.247961137266485, 3.3048076470007666], [-2.3889324789476056, 6.766686498118399, 1.7413531509640778], [-0.7068805513958247, 3.66582759425218, -1.080304409746812], [-3.5841014880979083, 2.958665292632996, -0.8111134697417022], [0.3005446514925303, 2.8591063159752834, 1.5966547383678273]]",[-64250.61328125],"[[-0.39567283723156355, 0.5133670519477282, -0.2844080808916506], [-0.2891902839862979, 0.04969646388645958, 0.15852371538360896], [0.9601846614172502, -0.7884636719185555, -0.0517729445086734], [0.26966243617706454, -0.15027453203060062, 0.2422563125613738], [0.19416647536196302, -0.07714583862337644, -0.0943087330188535], [-0.046482007235419044, 0.12453726097497703, 0.07530857871339189], [-0.6382294033856604, 0.22744109375688296, 0.47001005263505], [-0.032936261032337745, -0.20554664702696274, 0.28111274757497645], [-0.34515279198418414, 0.06730467873720986, -0.586291034008381], [0.016279606844026205, -0.09976857643631358, -0.03487386086961815], [0.3094319218487233, 0.33709006513523704, -0.17253788084550026]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.9016469858303786, 0.6989452773099709, -0.4742667394397607], [0.6213377408276157, -0.36600230811591783, 1.9516369143020826], [-0.6214175418224173, 0.3659563978150363, -1.9518061509573967], [-1.901567184835579, -0.69889936700909, 0.4744359760950748], [-1.0462590815368518, 2.602567476713697, 1.922894421490312], [2.7773767391274795, 1.5787837234674849, 4.545397592540959], [1.0263976841426197, 3.5697087502677807, 6.079950007143852], [-0.2797036224348266, 1.3370321375723404, 4.435552921631199], [1.0899006912651104, 4.660114475033245, 1.6991896743751098], [3.498023816866729, 2.954805767114124, 2.078409695269187], [0.9019795111333042, 5.933087047853617, 4.378003124359815]]",[-64250.6328125],"[[0.3482993611899236, 0.3271834449264918, -0.04770834184420395], [0.3144745778372124, 0.1613620091503393, -0.041108948881914874], [-0.16259048291813386, -0.18767505336535995, -0.08183183098468165], [-0.6168300999755431, 0.10113321590260625, -0.4485934714021627], [0.03634510861616998, -0.6403289673847835, -0.18449701383957484], [0.0245723755618559, 0.03655236535627446, 0.03655967757769683], [0.007279187870738934, 0.21061362566476816, 0.23102778464443716], [-0.018492571981705928, 0.1329705868379256, 0.8307408587301905], [0.45950241101994305, 0.13987271707996088, -0.024966587600309918], [-0.1907464948953042, -0.1631845623421326, -0.2159304642455503], [-0.188900904606484, -0.1101148041059577, -0.05140902008215874]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.9770585762481802, 1.708928454386689, 0.11312833487581603], [0.0575470849985356, -1.2271083513742727, 0.2308782924445451], [-1.5454215957639006, 0.7839404746911885, 4.216686620317584], [-1.8836316813729337, 2.5252319912031425, 1.8763233852877637], [1.478605712246098, 3.717579242482008, 2.509868606330862], [1.0062283528946903, 2.2324847647577313, 5.1601263666228725], [4.475668117131806, 2.5728030170055773, 3.2649235577757003], [0.04142994618776555, -1.7473974159273808, 3.105540956454999], [3.801570541339306, 0.38403539926557917, 1.119737360258282], [3.6561651156137054, 0.9145381608042698, 5.455464874963238], [2.993542817796013, -1.3563699419367918, 3.4321175868924683]]",[-64250.96875],"[[-0.043690193897265917, 0.01531621910052457, 0.8165334490481498], [0.18356174883795714, 0.20467529968517628, 0.24262567744517743], [0.2062786405005733, 0.22842510690131648, -0.3906911678436857], [0.4255727780225047, -0.24067657448601107, 0.1864804667559152], [-0.1924637356435461, -0.8386356924501361, 0.052052577842673683], [-0.4395962508829715, 0.5643075756379395, -0.3582992096506994], [0.25933286926509164, 0.4407525794562823, -0.8620240023624841], [-0.16055272827308728, 0.09633676888859184, -0.17179467735592577], [-0.2758437829614533, 0.2522682452136704, 0.1730064903660491], [-0.15349185803435123, -0.8550619653837606, 0.3816116719779701], [0.18953874423041553, 0.11623562708855933, -0.05966978369019039]]"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-1.4582438650549923, -1.325735610357268, -0.6675811718365199], [0.9160284121992955, -1.5401068367351605, 1.0572926758824908], [-0.916106683657542, 1.5402816238723416, -1.057313652905639], [1.45832213651324, 1.3255608232200882, 0.6676021488596686], [3.1986180332677585, 0.1476853788135133, -1.9901947450805428], [0.435785446228409, -2.7244416109400333, -4.571568332024456], [2.843687308338513, -1.8783599373080215, -6.265886971032405], [3.2074438782609174, -2.4674494318151172, -3.280013232901024], [1.3900870686956783, 1.6318960050957718, -3.82678305118722], [-0.9249810896015616, -0.23519069479885502, -3.9001947609058134], [2.656828872487215, 1.025153355234688, -6.4457606380100865]]",[-64250.51171875],"[[0.09283847257645995, -0.33338433210568014, -0.2135063754264794], [-0.28707287652139735, -0.26122659063162873, 0.054747198285535544], [-0.2559537179391456, 0.6283635608955364, 0.4315636573796891], [-0.11832120427877327, 0.06278179725038956, -0.3866835871365669], [0.23611538354096526, 0.42686218696881895, 0.021198860097146797], [0.6487426500087493, -0.45233540558419033, 0.14044674188824427], [-0.05137455699638327, -0.2773793494601507, -0.0956818571302565], [-0.4248144050159147, -0.31173002654342846, -0.3588375475274278], [0.5611780271445124, 0.23950049982953434, -0.08850590425056923], [-0.3475556949015249, 0.05882964955799167, 0.4350910071735624], [-0.061172748582827424, 0.210726805688331, 0.049635904089208364]]"
