atoms,coordinates,total_energy,forces
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.33723720462245066, 0.05950706924044738, 0.006708999686459894], [3.382148542486296, -0.0002850619142870242, 0.043394576208022916], [3.7720541978956343, 3.0255958200736335, -0.1469055277539392], [6.970400510435414, 2.8599970125208873, -0.0037805235600734165]]",[-23374.369140625],"[[-0.13349956589398682, 0.013149333299107746, -0.00380779868224607], [0.17673063250439086, 0.10614471010359916, -0.004913020895621359], [0.3590041036820484, -0.1589714475349772, 0.03415345793544927], [-0.4015609238276838, 0.04059451199335187, -0.026352680363208852]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.2915895404750393, 0.4094803443204083, 0.05814001718018753], [3.348412332263409, 0.1993625473041757, -0.045144659010077144], [3.9794611111055156, 3.13429123274257, -0.015940461438424428], [6.833941212200575, 2.9499213980021075, 0.0067961764808635566]]",[-23374.197265625],"[[-0.09332132601637586, -0.009013320776064149, -0.005066281868464525], [0.09803837732099407, -0.24018652195327428, 7.08764057961149e-05], [-1.2874415370905152, 0.36466516174385255, -0.002594917121059756], [1.2833462817172563, -0.11602695624093644, 0.005726168714160024]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.33743569524607075, 0.340192130018651, -0.010669168414515658], [3.385057885267295, -0.21412721835932272, 0.05498837246098045], [3.9158882975718705, 3.1158243454920154, -0.19993215595244884], [6.893974349282118, 2.724930685992416, 0.1952300892108598]]",[-23374.154296875],"[[0.010192593886637019, -0.14863036207449085, -0.007784775017341395], [-0.08948919748572065, 1.0990639036879273, -0.08606705729121554], [-0.18257115366580165, -1.0597738261760488, 0.08696709816010244], [0.2624861233427363, 0.10936044202251081, 0.00614396292381164]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.34138146506088146, 0.15824044594758485, 0.028742867644937758], [3.4306655750353965, -0.008326482009823298, -0.25186268790820865], [4.078149755032498, 2.9859450128084335, -0.013141334085104477], [6.847301540755128, 2.7903870191491666, 0.1757672693612443]]",[-23374.091796875],"[[0.0535082858331507, -0.04848592614420738, -0.02046502057044863], [-0.03522291402724851, 0.09509831923503119, 0.024341258971259307], [-1.987973432410968, 0.11951944185672005, -0.12356070403382231], [1.969321097132939, -0.16683044005709288, 0.11986324996100947]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.3922795170834775, 0.05613859158548559, 0.0015619134586268109], [3.350764805030926, -0.0063936951237273144, 0.08609360187246941], [3.9290576885023523, 2.866838257398537, 0.12658764489018662], [7.178380650837384, 2.8831275298114902, 0.0624515680769725]]",[-23374.27734375],"[[-0.5253064902807285, 0.1253064840428899, -0.00958273302273302], [0.5863347427862222, -0.8099817603602175, 0.00346801332818078], [0.43855407935296353, 0.7221492283988601, -0.002436349902586672], [-0.5013902811762424, -0.03756414128795083, 0.012197968040617011]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.40154824656089727, 0.4103872076991436, -0.02660671583537408], [3.375841045355567, 0.03819499611159748, 0.12115836459485134], [3.825972666591346, 3.010642550678017, -0.10651041558034798], [6.8893307070178995, 2.7796943233339055, 0.08035111879093829]]",[-23374.302734375],"[[-0.39346739514588164, 0.01767170056501227, -0.01630143037969184], [0.33283992642214555, -0.02650183528203953, 0.013518173677577261], [-0.04587127733816738, -0.0368358039250515, 0.006415137323747369], [0.10738768490121865, 0.04672034862988232, -0.003858011840450912]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.08876938832938411, 0.15459849542656912, -0.035952524405998054], [3.434799587468231, 0.00483330549756595, 0.11348882837897617], [3.694924300528391, 3.001284261206833, 0.034375369224647304], [6.941330656693939, 2.7360973525868424, -0.12299881576559844]]",[-23374.294921875],"[[0.6635285582210407, -0.036096709060594076, 0.04691755235108333], [-0.5941262181020962, 0.06988776466343938, -0.04923899753315566], [0.4893834284811836, -0.053588247185554244, -0.04042193945401664], [-0.5592054757115865, 0.017866538870000698, 0.047733996325692134]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.36503451975107554, 0.33746503863622246, -0.03244114272571765], [3.4517372875185757, -0.06524469724723411, 0.012681996036607314], [3.931691174565785, 2.888115046060217, 0.0883615146739757], [6.901926477968126, 2.6703691049301588, 0.08113332903068078]]",[-23374.29296875],"[[0.07686733657539088, -0.04936946566390695, 0.0044113613683736145], [-0.12450687051885452, -0.0923132987551755, -0.006915037187021318], [-0.4974133994577956, 0.16816283787196626, 0.0012061946323975315], [0.5450093788896928, -0.024376560237127493, 0.0020726707594488246]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.437517297081695, 0.29718060783490935, 0.05238918559864912], [3.4252024041547307, 0.004575627215479473, -0.13368996975281308], [3.894103303963818, 3.0112984377623215, -0.08493714259480971], [6.744913262608548, 2.824117708050427, -0.0016837583331470575]]",[-23374.13671875],"[[-0.4042616634994434, -0.03787823770772659, 0.008115275084330473], [0.3094797958159823, 0.08323323724645247, -0.00814298644948177], [-1.2834984911083265, -0.008490064998795545, -0.027890170048131258], [1.3792880775204386, -0.036060307361966124, 0.026048935210467725]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.3352420511352789, 0.3829829658900643, 0.10232526113502917], [3.349897019724068, -0.06850666471848228, -0.10821560989109826], [3.9780182950594702, 3.2386747349043477, 0.1333420099836474], [6.8975106378881454, 2.6863247848491207, -0.12642629057862328]]",[-23374.138671875],"[[-0.17021859024906505, -0.1223230771337269, -0.00026806089513487283], [0.11251338756760594, 1.0440679767454297, 0.08198249771300473], [-0.41795418377851534, -0.9663023476522655, -0.051990408533956076], [0.47443281530956827, 0.044540854131610616, -0.029880703786481885]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.2969617069378818, 0.28726300306800107, 0.09566394014605298], [3.268265693900524, -0.0552549011500679, -0.14920851202588353], [3.7862838976785533, 2.9566079009686828, 0.06996284359648877], [6.87984377220965, 2.736539261328816, -0.08575869696998986]]",[-23374.3359375],"[[-0.3559674749081023, 0.02895010791077944, 0.0225351865598167], [0.3523646374837927, 0.1369298307789612, -0.009383246160665956], [0.03671164014272765, -0.2149816752338476, -0.017488838465152323], [-0.03216999473469059, 0.049622616620744645, 0.005256433049805633]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.38748974963141286, 0.1269775389908168, -0.030063074287372305], [3.3193158936155243, -0.08884136757572188, 0.16480941465179072], [3.8236060201693807, 3.0409213885237922, -0.1480829365164038], [6.863380752125297, 2.786441106476318, -0.11945502387651892]]",[-23374.265625],"[[-0.6832304183881736, -0.008399762663775703, -0.031087266601055114], [0.6665485776594071, 0.5317162539959059, -0.02389748117873341], [-0.14217282723623756, -0.585648257863658, 0.055191845111409114], [0.15986984289693362, 0.06248951408186112, -8.677791628518756e-05]]"
