atoms,coordinates,total_energy,forces,source,charge
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.8820891818691292, 0.8847978258702422, -0.06773343603408166], [0.3794650343832673, -0.6587401018280007, 1.9367428040175185], [-0.37951692828301165, 0.6587193086675018, -1.9369271723110129], [-1.8820372879693865, -0.8847770327097443, 0.06791780432757599], [-0.8354623690658236, 2.428177131907378, 1.3649406774328359], [-1.2428799822504022, 1.2836911984319581, 5.955148709885491], [-1.1029219995345643, 4.333434280096469, 5.702087204688503], [-2.6558807510060607, 2.6974394251839824, 3.62684572339266], [1.7752592146408421, 2.4308020245746724, 2.7900189073625588], [1.2628615822983775, 0.3177746909635255, 4.820660863836175], [1.480100559503624, 4.8699054329200795, 4.461985106963918]]",[-64250.125],"[[0.745593588391028, -0.16929515232851022, -0.8939411803839323], [0.30652035160149455, -0.5428378239623607, 0.057489178474740596], [-0.2664039210779602, -0.39366609010773834, -0.16538810181042612], [-0.8148504039908071, 0.2912028418064714, -0.9607168800650808], [-0.07759871298390246, -0.685291930039529, 0.12530823239400354], [-0.0662527884318936, 0.052758654582128986, 0.058584211914890646], [-0.0863708590082574, -0.06048328117895178, -0.06587499032507123], [-0.2856679221353077, 0.14984176370788155, 0.5194310020970447], [0.3431613172215576, 0.8354002144480586, 0.7290325895774694], [-0.006598302813947626, 0.09572803416849339, 0.4526327281176934], [0.2018538723644835, 0.42809590578995443, 0.16248599322804766]]",bi11-3_samples,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.18222718844698874, 0.2695825145492856, 0.09004131169472042], [3.460140560039188, 0.28077729919249045, -0.026864389925073024], [3.828921258833215, 3.0943815292173658, -0.07866222359404064], [6.88360426855802, 2.6764921995904083, 0.1380321571793639]]",[-23374.2265625],"[[0.45190160881963976, 0.006721175901772869, -0.03589743817131164], [-0.4899302510030223, -1.186009404569567, 0.06197405903588487], [0.14644482033824957, 1.238767956307513, -0.006878841176759678], [-0.10724982227369846, -0.06191312385736514, -0.023922729425698126]]",bi4-6,"tensor(-6, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.3352420511352789, 0.3829829658900643, 0.10232526113502917], [3.349897019724068, -0.06850666471848228, -0.10821560989109826], [3.9780182950594702, 3.2386747349043477, 0.1333420099836474], [6.8975106378881454, 2.6863247848491207, -0.12642629057862328]]",[-23374.138671875],"[[-0.17021859024906505, -0.1223230771337269, -0.00026806089513487283], [0.11251338756760594, 1.0440679767454297, 0.08198249771300473], [-0.41795418377851534, -0.9663023476522655, -0.051990408533956076], [0.47443281530956827, 0.044540854131610616, -0.029880703786481885]]",bi4-6,"tensor(-6, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.41789442155414486, 0.23741958846647418, 0.08342443711045514], [3.456404472775491, -0.10106845488823116, -0.06765570673264162], [3.6507605698124266, 3.0491945091795487, -0.06872688354960857], [6.976558674175683, 2.814493537947674, -0.20440981278292786]]",[-23374.251953125],"[[-0.08659151120321791, -0.01383997312667137, -0.002473354268127916], [0.037729833551432945, 0.6617663231426683, 0.004203324555139904], [0.602326499046014, -0.7787855200626906, -0.02732134401330637], [-0.5516207172038554, 0.13427043446883016, 0.026086591608130177]]",bi4-6,"tensor(-6, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.4931420717400991, 0.06766476548327499, 0.042272198359723706], [3.3756611830289303, -0.13745257162339078, -0.025951954511134228], [4.035857561850459, 3.0461958923269643, 0.18004754887593888], [6.929193383651718, 2.8061091271183245, 0.000481183010369883]]",[-23374.119140625],"[[-1.0538618283073447, 0.00020359317319001226, 0.022101256097827957], [1.0713011164450528, 0.5812943493697624, 0.0174485235453553], [-0.9368673139912798, -0.5772715991456283, 0.006714449892194489], [0.9193565491462785, -0.0047822375474486966, -0.04608867965694016]]",bi4-6,"tensor(-6, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.0145510798211534, 1.7627582419949281, 0.5230244721537319], [0.20307435916669328, -1.1610091070847721, 0.36319294528026086], [-1.4231653860767217, 0.982565616329107, 4.086127220821121], [-1.797397387872476, 2.617881073616775, 1.79452377739941], [1.4578670576571167, 3.5011146524591057, 2.5428709887580703], [0.917057852297519, 2.441184528108625, 5.0566370069190585], [4.494764186298232, 2.4395825859260603, 3.244250613623115], [0.10072572839383587, -1.6027599175961234, 3.128687743443728], [3.793700630577196, 0.5043738057953232, 1.0002100421156215], [3.5862931675423653, 0.8756851149833729, 5.321122935026204], [3.046061237636432, -1.298350954467368, 3.3526387858862305]]",[-64250.4375],"[[-0.48511014982688216, -1.3894439406070616, -2.3058195511045727], [0.009221045457201982, 0.1836433042751996, -0.6940480837934032], [-0.5061148915283226, -0.5135108281157799, 0.3560837916792514], [0.017690603325876283, 0.22421877981024935, -0.19410939684031164], [0.7059954925505981, 2.203556437583727, 0.302528814586948], [0.046531295310196404, -0.4513051125573368, 1.8042731524583004], [0.8393144640589635, 1.3544311526726276, -1.360748356622965], [-0.24728837559899788, -0.22254859027580115, 0.6524892636011105], [0.12347133243866004, -0.48065128884407615, 0.24631572673680305], [-0.7145120193577197, -0.8212010323006702, 1.5232647917292268], [0.22152421078947904, -0.09079845535938397, -0.3321811065848503]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.0003542665706222, 1.7080740082224455, 0.2629003913031919], [0.15901394009605058, -1.0883560939993424, 0.16289808736446387], [-1.5775971069308679, 0.8977944756960209, 4.099524060563822], [-1.7456760230668797, 2.2884116533323997, 1.9008737663972983], [1.5750780842174896, 3.516965282923665, 2.647053992803158], [0.9714878735863683, 2.4901177302619613, 5.054013848410747], [4.537869602175844, 2.6399309492383907, 3.1345203787795564], [0.11234600082060128, -1.7080806815414238, 3.1081567519388944], [3.681349631358358, 0.6594239595691017, 1.2679614004222546], [3.4304086387782484, 0.8691270938552637, 5.398198416598637], [2.988321717336603, -1.3144807262615945, 3.0693748283635793]]",[-64250.00390625],"[[-0.34788875578867456, 0.4624616495460645, -0.0880175486468545], [-0.11481416621107314, -0.5456938069285938, 0.517072784977285], [0.39353450097539067, -1.377009050421709, 2.3024359774787513], [-0.3751447783190496, 1.5824835008320963, -2.5203777139921852], [0.29278911048746453, 1.4415360620381588, -2.2023228216067747], [-0.7939673783801314, -1.0537307019738211, 2.230721185901551], [0.15728104911853893, 0.684338564461676, 1.1384259721280148], [-0.4792427863336676, 0.08413327811533937, -0.5112846115051005], [0.6914342988785017, -0.032789116717287764, -2.1828071094111534], [0.5115640391507345, -0.3289778188121005, -0.2068368273046507], [0.054222178730525816, -0.9082637755511074, 1.5204653730637294]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.8448712204469694, 1.6496674827697018, 0.23466259722783217], [0.05570936929146793, -1.0526719789644412, 0.40241901929242585], [-1.6278239141580602, 1.0005910223646777, 4.084630203724888], [-1.7375254882776323, 2.44707162297734, 1.7928028168632073], [1.4327998072816168, 3.4656889417278767, 2.3456943936004975], [0.9701163007004763, 2.312206403928022, 5.116637849867998], [4.364449695621443, 2.615041488860039, 3.044007074811595], [0.11841233889887737, -1.8193878829783006, 2.8965218493745044], [3.907437439962842, 0.2970663941143475, 1.1047449585616158], [3.591690791409991, 0.9748597595505969, 5.41747864495615], [3.069417822732599, -1.2922701895668023, 3.198254251602795]]",[-64250.16796875],"[[0.4172880620042161, 0.38836390682305594, -0.7536174915608337], [-0.4810140202780663, -0.4015867891397475, -2.9596391042148023], [0.2888684845372039, -1.100948523344255, 1.114046244290046], [-0.4944810546855694, 0.765384922997506, -1.145181806519511], [0.10566314221597271, 0.6800119096763166, 0.9271181996490375], [-0.42933394406678244, 0.4135178456718206, -0.25415337909091396], [0.5259976031915347, -0.016873213184782448, -0.08005267803818004], [-0.237638968692325, -0.47883104964640394, 2.9834835280794456], [0.287519580230934, 1.1226964685352698, -1.1918129018250418], [0.15289294493374414, -0.6726282115466549, -0.28647118662784504], [-0.13032281192049114, -0.7140209383831513, 1.6592546266741452]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.4446194838826049, -1.8827641069539323, -0.7663077264705256], [-1.3640451767478965, -0.3052227579659752, 1.5411439734171308], [1.364123339716437, 0.3053192626749015, -1.541291263578052], [0.44454132091406506, 1.8826676022450077, 0.7664550166314477], [0.9271355583758178, 1.245302190149452, 3.853128798674389], [3.332203350082941, -2.42239336966601, 5.672333334303071], [2.3009384372825736, -3.193455262956609, 2.892671940744321], [3.3262011407423593, -0.3512820919264561, 3.4081089490525533], [-0.8475417452967784, -0.8047584588701933, 5.075623723933183], [0.9382698950070782, -1.8252144817717344, 7.225155973583839], [-0.6011918738106736, -2.9957639310487867, 3.082981808631729]]",[-64250.5625],"[[0.03121345127157797, -0.28466082047175567, -0.3440353899341977], [-0.6209495237318436, -0.29843350779159744, -0.026842167252938292], [0.10532853866607571, 0.19317408041660233, -0.075159351803633], [0.292531794341209, 0.23274579672405268, -0.3732635010986744], [0.1992349966625158, 0.02939715100612053, 0.31843829550021524], [-0.014000080951008124, 0.11165674694401075, -0.30506027273323344], [0.10729229692134176, -0.029068322157107734, -0.04601557286934395], [0.13443591075952765, -0.12119271671666289, 0.08962289492382303], [-0.1349886982439894, -0.11512141320825073, 0.5994304068483501], [-0.1302704642312649, 0.056783615956201086, 0.222740086144837], [0.03872873339137823, 0.2262606996447137, -0.05941159336837806]]",bi11-3_samples,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.559333447527618, 5.400490301191437, 0.11601047792250682], [-2.673377238609695, 5.432600240840281, 0.08452567780920689], [-5.631967773289471, 2.5841869388625187, 0.13400059103459844], [-2.604319187803191, 2.7242750644961125, 0.0261228567587905]]",[-23365.798828125],"[[-0.3025180159477167, 1.2092089954058243, 0.027614671050293835], [0.15076669286909214, 2.147985611657389, 0.013970893771828545], [0.5141027992340239, -1.0717670005947477, -0.04265727320153273], [-0.36308814903934344, -2.289518748074398, 0.0001532733141451454]]",bi4-2,"tensor(-2, dtype=torch.int32)"
