atoms,coordinates,total_energy,forces,source,charge
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.8187522838344602, 1.7389848589289514, 0.18239012122645423], [0.06000719531756553, -1.1955809306741862, 0.2799162606349523], [-1.449334222747393, 0.879910020734316, 4.092935981018739], [-1.9366207931514958, 2.646727812634035, 1.799318775248704], [1.7072716219998676, 3.5395096190157864, 2.4655250243761375], [0.94288422125643, 2.3675181608824887, 5.014626450806848], [4.476593431077561, 2.4615196044159755, 3.0312376674580124], [0.1641509167673675, -1.6989782279560757, 2.9934862176618857], [3.734987345005856, 0.36100008717513415, 1.1030791173782193], [3.5331867474815364, 1.0281706040826832, 5.394736408817189], [3.102885119021758, -1.3531190691310286, 3.2025277237879086]]",[-64250.73828125],"[[-0.10030249201316627, 0.02327592693120461, 0.29698823848571076], [0.02406054577333589, 0.2692456601248262, -1.064467634695274], [-0.25322711295532235, -0.058962935619361424, -0.34697133425283433], [0.502755537707634, -0.41446761170326324, 0.13239589354245165], [-0.5416402034495128, 0.417239108173034, -0.6089527497667342], [-0.3909371197077025, 0.3393716633385457, 0.4903240413803254], [0.8660066433551876, 0.6023943762068967, -0.035591790401182134], [-0.43102028013798604, -0.16663765863576757, 1.0943700951687023], [0.18179108053656584, 0.4791591740127621, -1.6009270624183196], [0.2178745792618336, -1.1115980385100253, 0.1571776392923759], [-0.08089404630057663, -0.374234350187664, 1.4906544439133094]]",bi11-3_samples,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.645837043240556, 5.501079339417349, -0.03489610860687859], [-2.6852207778204025, 5.814165416759063, -0.20877941245072332], [-5.618301917036304, 2.3872704083480865, -0.026383572825083065], [-2.5949967822164304, 2.646233572208559, -0.10772714289231662]]",[-23365.89453125],"[[0.12437502427604895, -0.7338616381975442, -0.03884281844375282], [-0.30336761174476573, -1.1416892180595444, 0.08417580418507424], [0.5417409907490054, 1.0206287589624197, 0.004868047648548297], [-0.36316373951396286, 0.8544017057279011, -0.05083990094141186]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.9203313830696256, 1.5199418041169783, -1.0828119675018715], [-0.5231905543292377, 1.3689946110564668, 1.4768311757775558], [0.5232681382831904, -1.3691576351797987, -1.4768984131577925], [-0.9204089670235792, -1.5197787799936482, 1.0828792048821092], [3.986546421255378, -0.7586566406846246, -1.3572628100111954], [6.4504582279902625, -0.9375231527284975, 2.6977331609055075], [3.4656189847747525, -0.7416664037431757, 3.358744546992438], [4.39695598312538, -2.4443695662970333, 0.9863616540985997], [4.424712575121372, 1.9263314837918164, -0.15494370422448656], [7.045937913294567, 1.4786751103829179, 1.1791193000876041], [2.5964323647716796, 1.7803899326442023, 2.1834120379598203]]",[-64250.5546875],"[[-0.26258819619451823, 0.27536802577017516, -0.7920076824701001], [0.13626175496518195, -0.004928770968050735, 0.7345491515619399], [0.5120960006881072, 0.22814151406626468, 0.10092243674922868], [-0.09805719780651155, -0.09192871293226484, 0.07455997590420171], [0.08232532879755416, -0.2479215358125958, -0.25566050917296884], [-0.3896038991393639, -0.2586507037982201, 0.18622320203175127], [0.12771499196821268, -0.5624625509921267, -0.028481467536975655], [0.10074461915655253, 0.02434825751792305, 0.31571652419300034], [0.3210219984915437, -0.05621972129995851, -0.29182031828213806], [-0.02404998881793496, 0.2984598359024853, -0.24110096100780296], [-0.5088849996016207, 0.3969645087499072, 0.20408050035189543]]",bi11-3_samples,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.0485175159628355, 1.6510884708639055, 0.30831846193534423], [0.2549920302190327, -1.0893150619443617, 0.46633606010540696], [-1.2418549464832902, 0.9166885638818406, 4.1741300034508955], [-1.8582466706856329, 2.53637203305674, 1.9740244926669483], [1.6499624140673763, 3.5849996730667715, 2.451114898486396], [0.9894094876513664, 2.3655545084341028, 5.176627440615377], [4.750224115698153, 2.5768563439017185, 3.2846683260627105], [0.20302492251952836, -1.743950507079589, 2.950591103024235], [3.8234399662403984, 0.38164948845022206, 0.9956637704128557], [3.6159485030939704, 0.930807283119921, 5.440621536299452], [2.94115873583765, -1.3295966982001182, 3.482084663917178]]",[-64250.19140625],"[[0.13863051361371506, 0.8533953753957227, -0.12923199509185046], [-0.1440670114015988, 0.005619503869600115, -3.882609597957171], [-0.8245249563002616, -1.1196024012850314, 0.2427067186615041], [0.31412089669134, 0.38445320533646976, -0.5313259603208302], [0.05187167492450286, 0.006993059926572371, 0.5324140517786172], [0.5859434206693148, 0.9378340493129431, 0.016309441941559664], [-0.3604680392071779, -0.1631172508242572, -0.6666385663196683], [-1.3605246705246015, -0.9317611002976004, 3.686319133102585], [-0.055305282245429827, -0.07745272566591299, 0.7946034696529494], [0.07703363561955362, -0.3880674584651097, 0.17152085471827377], [1.5728104911853893, 0.4905615085992318, -0.23540611863183217]]",bi11-3_samples,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.7731699296427526, -1.5067725932794565, -1.2089496728849478], [0.38584617274074084, 1.3962102502345062, -1.4935275662373697], [-0.3858381508035958, -1.396281019013051, 1.4937065758139512], [-0.7731779515798984, 1.5068433620580026, 1.2087706633083675], [6.880133204051461, -0.3604052471714754, 3.337457666714973], [3.4008228471440267, -2.7638776001559267, 1.1779283121089668], [4.005654433881392, -0.2307855637597504, -0.4352005461444688], [6.2962656020054375, -1.7962203419758422, 0.8676047679297136], [4.176120549699686, 0.699185776067445, 3.979567055908081], [2.580002076065478, -1.8054506518303715, 3.805944523442217], [3.4629617790306817, 1.9748395501117852, 1.3919181118860542]]",[-64250.3203125],"[[-0.027547380101255077, 0.06604236923315708, -0.28333438761950536], [0.5595726294454523, -0.20488556461763807, -0.3441612712143803], [0.031201089400762657, 0.27549570682356295, 0.4181309215072684], [0.0342198387134671, -0.29845819039555477, 0.5368965155014573], [-0.1553789973731663, 0.12126054245545403, 0.28456018743853784], [-0.10088500146656001, -0.07581426356196834, -0.07646315893558907], [-0.014306057822523734, 0.19140053247808272, -0.20370162238114994], [-0.008085542830980168, -0.020894785843019566, -0.24105056735805666], [0.15925946266990468, -0.1746334853435719, 0.2309735857599141], [-0.13978391112780594, 0.08729403981835433, 0.0018894564182615674], [-0.3397176311706814, 0.01966483111898758, -0.3264814305322712]]",bi11-3_samples,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.000597128563136, 1.8140878875530924, 0.29391871810221887], [-0.05032715996391374, -1.0335700242263606, 0.3127999743936709], [-1.583302917781924, 0.8647703669111153, 4.051367927774848], [-1.7240106625154878, 2.670017664284661, 1.5240277000339302], [1.4885530200529453, 3.5593041547597526, 2.3345671120050717], [1.0071227630575283, 2.281936935515076, 5.044741092671339], [4.642577503344002, 2.447607210880444, 3.117087721561896], [0.21434245171922825, -1.802356495622224, 3.1683080029092903], [3.827044053926694, 0.27035263350597594, 1.0136610008201985], [3.623961113550341, 0.7962571849538285, 5.366143301188938], [3.0372191059710825, -1.4115868628691322, 3.3841238969460123]]",[-64250.66796875],"[[-0.08938799880949547, -1.5475149358964193, -1.5673180975839605], [0.19528778549090936, -0.12712173529767917, 0.31737231554180667], [0.5663099518839806, 0.4233356599284108, -0.5839806394337888], [-0.02619322045722598, -0.48240997579812983, 0.9287081707206241], [0.37268937344620784, 1.063998150999168, 1.7240207510164316], [-0.4509854214139974, 0.16355593268750776, -0.13332632486746107], [-0.12606069186006205, -0.04411025067894696, -0.3369396555173718], [-1.2335979792202771, 0.36695390761789054, -0.4211394223971214], [-0.007612043069522278, 0.14585742578615593, 0.2951541153233124], [-0.11124285052890073, -0.028558703518525567, 0.06507172583253382], [0.9095117897137015, 0.0569838021587136, -0.2772967655810767]]",bi11-3_samples,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.174871454336056, -5.5949004393541735, 1.971852781407717], [0.7651981294209798, -6.960142903319225, 4.300076614392317], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [-4.776824180303841, 1.575542748911014, 2.0875560066568095], [-6.957262319204519, 3.3502486383425585, 2.6017082726640046]]",[-64248.89453125],"[[0.319629231141158, -0.3002997697612319, 0.6740664874480871], [-0.3129602486623366, 0.7324521586673957, -0.9643755618808441], [0.11491464497801625, -0.11155760515144868, 0.09656446591009851], [-0.2615948242294176, 0.013460138705022513, -0.22913992539634], [-0.11201222786308833, -0.006476087928894579, -0.13701082057319633], [-0.06147099671397888, -0.12465136659618826, 0.07608417812066041], [0.3059515204244605, 0.3207865881563004, 0.09800958094971049], [0.13253385901415501, -0.39064565929263934, 0.260950659688222], [-0.2896941176395776, -0.09577796501941548, 0.17095330909352918], [-0.8488424634074211, 0.6708351232133357, 0.17423660964077411], [1.0122716406391896, -0.7166095264731795, -0.218958608374386]]",bi11-3_samples_bi2,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi']","[[0.008202337749430357, -0.031372688242089074, 1.504337259628933], [0.013156357449002041, 0.08258877310184781, -1.4226959086487532]]",[-11684.7802734375],"[[0.0005516515704588022, 0.023396408891771487, -0.49886977593546306], [-0.000552016153088089, -0.023394850802396675, 0.49886977593546306]]",bi2-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.9765876630398881, 1.6551172749673722, 0.14804821635602688], [0.31161140022190953, -1.318512589286148, 0.3686442974789663], [-1.5112759920449421, 0.9892584156457511, 4.207603806228525], [-1.6925745196113275, 2.6180739831177524, 1.797314558979584], [1.609377461428357, 3.737340256686903, 2.5789362499354294], [0.9031423556480894, 2.435721425845965, 5.025623110321416], [4.489702179820359, 2.715005399033763, 3.216482090998348], [-0.06545260383791712, -1.719429501575997, 3.0078016574708264], [3.7959055965193973, 0.31913942818111257, 1.0645272099114065], [3.525607823515454, 0.8593561426040938, 5.270253559028406], [2.933855276621616, -1.4182239119157407, 3.2995908519831483]]",[-64250.7734375],"[[0.08967843078272708, 0.3382136378362128, 0.7227035585460692], [0.10963688718683327, 0.28286845204771854, -1.912184468518056], [-0.2799696859012927, -0.29778337828777884, -0.5318005862260936], [0.09370514050791283, -0.2436150899092266, -0.030687182159742903], [-0.0803472237787379, -0.07062160933234671, -1.1731255995247398], [0.28914117588884114, -0.08902094791981285, 0.7705286748180372], [0.33608332342632613, -0.30807345303342, -0.4845814278812788], [-0.19638276750896785, -0.12000013556878968, 1.8201142419897691], [-0.3193710408193457, 0.6444838723842727, 0.1342423065847371], [0.008557659338174612, -0.24589797366482471, 0.4110200175734271], [-0.05004047767911531, 0.10203392525868366, 0.272139438328369]]",bi11-3_samples_bi2,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.6047381366967768, 1.9333966079888631, 0.47537778847161927], [-1.2644841800877482, -0.010654662833790352, 1.6522321748038968], [1.2646235981515432, 0.010585386442943379, -1.6523456665884408], [-0.6048775547605725, -1.9333273315980182, -0.4752642966870755], [-3.754474333102271, -2.9101017160440374, 0.6165103330369952], [-3.2973222313267394, 0.45730899523886137, -2.699723072805907], [-6.252370132261705, -0.31833372769847434, -2.4747086376395964], [-4.5190956494324075, -0.15425481382229078, 0.04791399207675706], [-3.679394054512514, -4.0135824467986385, -2.144542956512695], [-1.9290689547358149, -2.001232083961015, -3.4627806679623294], [-6.341590323164658, -3.153448337441631, -3.1468878981416952]]",[-64250.76953125],"[[0.35103475935140666, -0.3329493526330232, -0.4126680956084968], [-0.3415201811688509, -0.10486579126396675, -0.16178001933277555], [0.4649674994907441, 1.041146173501977, -0.2266846233676814], [-0.16707032411430348, -0.8260665906057653, 0.12427284858008379], [0.04132140439547787, -0.11586703353612939, -0.015103295645928218], [-0.32520703683669766, 0.28103710567826545, 0.25947165749026024], [-0.05284658635872708, 0.1980386102798658, -0.07452130649133519], [-0.029704151177258536, 0.15847661274772368, -0.22054307728217393], [-0.4034573705650745, -0.23764863604554165, 0.1354984968598921], [0.35797746162369687, 0.19533545376980202, 0.7083537096703578], [0.0949254381631465, -0.2597524735323668, -0.12610753738548947]]",bi11-3_samples,"tensor(-3, dtype=torch.int32)"
