trajectory_id,h5_file,generator_rank,frame_index,slot,episode,md_step,model_iteration,pool_index,temperature_K,cluster_a_indices,cluster_b_indices,pair_distance_rmsd_a_A,pair_distance_rmsd_b_A,max_pair_distance_error_a_A,max_pair_distance_error_b_A,minimum_intercluster_distance_A,centroid_distance_A
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55475,13,17,270700,41,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.06870124551641021,0.0974714849265147,0.2261380614701114,0.25929402336093865,12.600823402404785,16.890689849853516
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55515,13,17,270900,41,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.14893074170785162,0.11476271646410578,0.4938210906449161,0.2521118583145938,12.490306854248047,16.66214942932129
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55535,13,17,271000,41,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.10193446173228521,0.11228862757716487,0.2435507239762149,0.3221492670438,12.188488006591797,16.591337203979492
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55555,13,17,271100,41,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.12417845628831348,0.18346383419221837,0.2683174556895631,0.3714136542740665,11.907492637634277,16.62432289123535
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55595,13,17,271300,41,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.07830684988224584,0.1265166185076019,0.16139506324741326,0.2928070925137707,11.643177032470703,16.41446876525879
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55635,13,17,271500,41,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.1483499343169593,0.15385572210018547,0.33987230677040436,0.4553541602555118,11.62169361114502,16.472900390625
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55655,13,17,271600,41,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.11432298719153959,0.111474865658634,0.30920261759193757,0.2688467449351686,11.977156639099121,16.63256072998047
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55675,13,17,271700,41,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.17045241455469676,0.11926362440590998,0.3803123893204532,0.38022989649208405,11.752579689025879,16.85382843017578
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55715,13,17,271900,41,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.11776807651643476,0.1347827585878596,0.24636120218666413,0.3043470285794445,11.803759574890137,16.756715774536133
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55755,13,17,272100,41,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.12717759234001128,0.11521401361040465,0.28164529267991956,0.2504382036587902,11.984918594360352,16.460853576660156
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55795,13,17,272300,41,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.19760991410344034,0.08312721811484446,0.3663505973282657,0.21010631937416413,11.337260246276855,16.219831466674805
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55815,13,17,272400,41,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.11597915050878532,0.16609199465699273,0.2929658792874523,0.398230499214252,11.481887817382812,16.06936264038086
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55855,13,17,272600,41,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.134285489447053,0.10626285347511119,0.3965632862254518,0.35456633035386975,10.832403182983398,15.682963371276855
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55915,13,17,272900,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.11519011554574152,0.15018616960122028,0.2994666002652355,0.32888693231972077,10.645611763000488,15.533897399902344
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55935,13,17,273000,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.12699694681734092,0.1069854850439701,0.29323810953529694,0.3200082244339786,10.451749801635742,15.569082260131836
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55955,13,17,273100,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.13798791066341382,0.14102464168934342,0.35500573579515393,0.3814601844951051,10.442832946777344,15.671319007873535
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55975,13,17,273200,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.08471982829750353,0.10434143044255711,0.25016474191392835,0.2731165351334415,10.68833065032959,15.680726051330566
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,55995,13,17,273300,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.11853902031313132,0.15197071889740899,0.3559011878434024,0.37772936243446686,10.316816329956055,15.561111450195312
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56015,13,17,273400,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.14017905904319522,0.15978120840183108,0.435400909370502,0.38000344261142693,10.592056274414062,15.536044120788574
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56035,13,17,273500,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.0797735445225077,0.25884184153095563,0.17658852998460706,0.5066127242508731,10.511720657348633,15.4495210647583
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56055,13,17,273600,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.11210003617984422,0.16787158982347364,0.2926897905728527,0.39550470773424085,10.3229398727417,15.342089653015137
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56075,13,17,273700,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.1337376134308941,0.15194886842984429,0.42678636927040436,0.46926878913852654,10.300275802612305,15.147889137268066
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56095,13,17,273800,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.09768783443393021,0.18572342055896418,0.3049377860489688,0.43897432703407624,10.362388610839844,14.923747062683105
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56115,13,17,273900,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.12045013289691618,0.17405172482061604,0.2854070566556164,0.4652618827286563,9.925992965698242,14.710169792175293
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56155,13,17,274100,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.11891555200253949,0.18562895760901052,0.3361134432217785,0.3469438018265567,9.242091178894043,14.191025733947754
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56175,13,17,274200,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.13267213179345225,0.13649894609887747,0.32765101417514764,0.32690281290443757,9.153985023498535,14.012764930725098
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56195,13,17,274300,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.18608262639633175,0.1432522471241958,0.4527291716996036,0.3836288355252453,9.181705474853516,13.944840431213379
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56215,13,17,274400,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.18092965553234447,0.21040575585544474,0.6810612581631847,0.6727413596573673,8.98554515838623,13.861372947692871
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56275,13,17,274700,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.10335927269894102,0.14360666184525445,0.19720358271034577,0.45073222145053826,9.071209907531738,13.622617721557617
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56315,13,17,274900,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.12197294146896093,0.10840851817188873,0.24230236429603913,0.28575085624668084,9.475854873657227,13.441423416137695
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56335,13,17,275000,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.11663686392029297,0.11473959208542274,0.2827324332657657,0.283213605727882,9.173721313476562,13.422780990600586
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56355,13,17,275100,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.14986198183957491,0.13966995543321406,0.2773942850491711,0.49530028327915154,9.389748573303223,13.468958854675293
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56395,13,17,275300,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.17764598362247125,0.1025746923729593,0.41711038965614655,0.20874213639940198,10.040841102600098,13.755343437194824
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56415,13,17,275400,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.14296301393138935,0.15629835380819845,0.36409944910438874,0.4264888710185426,10.245983123779297,13.901077270507812
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56435,13,17,275500,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.21087559743446235,0.16760227509756206,0.49449962992103913,0.46963209528358796,10.146679878234863,14.030056953430176
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56455,13,17,275600,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.1305248672725377,0.1616836808443071,0.31593126673134186,0.3666160053416627,10.2393798828125,14.23681354522705
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56475,13,17,275700,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.18587714926112375,0.12560679201016625,0.42904614433261834,0.32511181253822663,11.163915634155273,14.395331382751465
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56495,13,17,275800,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.12389222967246467,0.17031781685555766,0.3031816385647961,0.33971590418251374,11.091265678405762,14.580587387084961
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56515,13,17,275900,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.11007989913596122,0.13479054349890873,0.2390336455765567,0.39868969339760163,11.32093620300293,14.609842300415039
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56535,13,17,276000,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.13283622290213118,0.13130297131215396,0.27723595583081284,0.3270034255448184,11.234428405761719,14.525665283203125
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56555,13,17,276100,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.13443646431928316,0.19385730461837902,0.26592440027626374,0.46763224024208405,11.46618366241455,14.556846618652344
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56575,13,17,276200,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.1006010152353466,0.14808594638595138,0.18368145906567612,0.539392223205299,11.592748641967773,14.761429786682129
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56595,13,17,276300,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.09689648450240917,0.16017086911068346,0.27631563562782624,0.3909806670609317,11.85727596282959,14.874506950378418
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56635,13,17,276500,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.12120474903096203,0.09651242404585494,0.28677281242860264,0.28959750160190545,11.845955848693848,14.954866409301758
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56655,13,17,276600,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.12310834328081378,0.14073489673731954,0.32222885507973054,0.27840752024086335,11.573153495788574,14.875825881958008
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56675,13,17,276700,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.08202719289778122,0.17926757088227963,0.26069111246498444,0.534981241073341,11.216115951538086,14.696199417114258
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56695,13,17,276800,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.15202736086967747,0.12004981393135615,0.2717308463517032,0.26237343772861443,11.02856159210205,14.467489242553711
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56715,13,17,276900,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.13832467548705712,0.1705374254181821,0.24963278192909577,0.33932394403847077,10.922283172607422,14.235915184020996
generator_rank_4_4921456:r4:s13:e17,../results/bi14-6_samples/generator_trajectories/generator_rank_4_4921456.h5,4,56735,13,17,277000,42,386,680.4773559570312,0 5 6 9 10 11 13,1 2 3 4 7 8 12,0.15286423519408907,0.09581754490969407,0.34466551765415154,0.2803301714322277,10.137063980102539,13.978684425354004
