bin_left,bin_right,count
0.0006966714564722743,0.01165227189327524,811
0.01165227189327524,0.02260787233007821,452
0.02260787233007821,0.033563472766881174,181
0.033563472766881174,0.04451907320368414,47
0.04451907320368414,0.0554746736404871,11
0.0554746736404871,0.06643027407729007,5
0.06643027407729007,0.07738587451409304,0
0.07738587451409304,0.088341474950896,3
0.088341474950896,0.09929707538769897,2
0.09929707538769897,0.11025267582450193,0
0.11025267582450193,0.1212082762613049,0
0.1212082762613049,0.1321638766981079,1
0.1321638766981079,0.14311947713491086,5
0.14311947713491086,0.15407507757171382,1
0.15407507757171382,0.16503067800851678,8
0.16503067800851678,0.17598627844531975,9
0.17598627844531975,0.18694187888212271,5
0.18694187888212271,0.19789747931892568,14
0.19789747931892568,0.20885307975572864,11
0.20885307975572864,0.2198086801925316,11
0.2198086801925316,0.23076428062933457,11
0.23076428062933457,0.24171988106613754,16
0.24171988106613754,0.2526754815029405,11
0.2526754815029405,0.2636310819397435,6
0.2636310819397435,0.27458668237654643,13
0.27458668237654643,0.2855422828133494,7
0.2855422828133494,0.29649788325015236,11
0.29649788325015236,0.30745348368695535,9
0.30745348368695535,0.3184090841237583,3
0.3184090841237583,0.3293646845605613,9
0.3293646845605613,0.3403202849973642,5
0.3403202849973642,0.3512758854341672,4
0.3512758854341672,0.3622314858709702,4
0.3622314858709702,0.37318708630777314,6
0.37318708630777314,0.38414268674457613,2
0.38414268674457613,0.39509828718137907,2
0.39509828718137907,0.40605388761818206,2
0.40605388761818206,0.417009488054985,0
0.417009488054985,0.427965088491788,4
0.427965088491788,0.43892068892859093,1
0.43892068892859093,0.4498762893653939,1
0.4498762893653939,0.46083188980219686,3
0.46083188980219686,0.47178749023899985,0
0.47178749023899985,0.4827430906758028,2
0.4827430906758028,0.4936986911126058,0
0.4936986911126058,0.5046542915494087,1
0.5046542915494087,0.5156098919862117,0
0.5156098919862117,0.5265654924230146,0
0.5265654924230146,0.5375210928598176,0
0.5375210928598176,0.5484766932966205,1
