bin_left,bin_right,count
0.0007027836735794704,0.012153179985364025,816
0.012153179985364025,0.02360357629714858,436
0.02360357629714858,0.03505397260893313,183
0.03505397260893313,0.04650436892071769,52
0.04650436892071769,0.057954765232502245,13
0.057954765232502245,0.06940516154428679,6
0.06940516154428679,0.08085555785607135,1
0.08085555785607135,0.0923059541678559,2
0.0923059541678559,0.10375635047964046,2
0.10375635047964046,0.11520674679142502,1
0.11520674679142502,0.12665714310320958,0
0.12665714310320958,0.13810753941499412,2
0.13810753941499412,0.1495579357267787,3
0.1495579357267787,0.16100833203856324,3
0.16100833203856324,0.1724587283503478,4
0.1724587283503478,0.18390912466213236,11
0.18390912466213236,0.1953595209739169,3
0.1953595209739169,0.20680991728570147,13
0.20680991728570147,0.21826031359748602,12
0.21826031359748602,0.2297107099092706,12
0.2297107099092706,0.24116110622105513,7
0.24116110622105513,0.25261150253283965,10
0.25261150253283965,0.2640618988446242,12
0.2640618988446242,0.27551229515640874,10
0.27551229515640874,0.2869626914681933,12
0.2869626914681933,0.2984130877799779,8
0.2984130877799779,0.30986348409176245,14
0.30986348409176245,0.32131388040354697,5
0.32131388040354697,0.33276427671533154,4
0.33276427671533154,0.3442146730271161,7
0.3442146730271161,0.35566506933890063,5
0.35566506933890063,0.3671154656506852,4
0.3671154656506852,0.3785658619624698,9
0.3785658619624698,0.3900162582742543,5
0.3900162582742543,0.40146665458603886,1
0.40146665458603886,0.41291705089782343,4
0.41291705089782343,0.42436744720960795,3
0.42436744720960795,0.4358178435213925,3
0.4358178435213925,0.4472682398331771,1
0.4472682398331771,0.45871863614496167,1
0.45871863614496167,0.4701690324567462,1
0.4701690324567462,0.48161942876853076,2
0.48161942876853076,0.4930698250803153,2
0.4930698250803153,0.5045202213920998,0
0.5045202213920998,0.5159706177038844,3
0.5159706177038844,0.527421014015669,1
0.527421014015669,0.5388714103274536,1
0.5388714103274536,0.550321806639238,0
0.550321806639238,0.5617722029510226,0
0.5617722029510226,0.5732225992628072,1
