idx,config_id,true_energy,oob_model_count,energy_std_oob,source
0,3861f93026681a3476fb8d8c484e884567dda77a,-64251.81640625,3,0.14211356050613336,bi11-3
1,9c57bb33c40b8f1225ef250e4387d35948657d82,-64251.8046875,2,0.042544861600827516,bi11-3
2,f7e22d46560573f87162ae91b817d7d943c013c1,-64251.80078125,3,0.14879203435910007,bi11-3
3,69193e81ca8beffbca945b509854359a95e5e2da,-64251.3203125,2,0.052047392963673056,bi11-3
4,ed7a3e7d6e8fa81c2475a2f1dc00e96f7df364bd,-64251.5859375,2,0.1582361757371837,bi11-3
5,ea0a76340b177119ebac9acbae6e7d95dd794248,-64251.5625,3,0.04810119931972416,bi11-3
6,4b51244d4581c02e0f224ad0d343641ec6b93433,-64250.87109375,5,0.10905347687981891,bi11-3
7,4ba554fca07800996fd41497e21e758c42404679,-64251.84765625,1,0.0,bi11-3
8,cc27598dccde23641b7accecb221a1fbfa716354,-64250.7578125,3,0.13957526761404315,bi11-3
9,26ac688e527fcf640b7a94333d1d2419d21e1e48,-64251.67578125,3,0.05565178052609057,bi11-3
10,96ff946e84aa947b0537ce2397355685316fde52,-64251.484375,0,,bi11-3
11,fb5fe0dba5281d5685b657438f51c37434047760,-64251.484375,3,0.045667159999929326,bi11-3
12,6d2fd65e2fad75369c9e0d205bb5e417be42b575,-64249.99609375,1,0.0,bi11-3
13,ad7cb0140127e298c79f285f34c8cdf7730986de,-64251.41015625,4,0.11838842477388004,bi11-3
14,b5ad30347d3c92fd72224899b278281ac4aa5636,-64251.0625,3,0.1395734024540635,bi11-3
15,c0edba62bccb3ccceb1a13c1cd460fae278627ae,-64251.37890625,4,0.06793309185411606,bi11-3
16,0800f9d04dc50e7f0f9aa4fa55e6993a356cabc2,-64251.26953125,2,0.06710534560077688,bi11-3
17,28209b044d792db998d3dfc426ee543fd54872f6,-64251.0234375,1,0.0,bi11-3
18,3bae5f9e1e10ba4184d12069e792f8a41427f0e6,-64251.5390625,3,0.08663393029813037,bi11-3
19,b8e0440fa02eb5daefddafad30887324c05af816,-64251.81640625,3,0.12061203827966993,bi11-3
20,80685b92f3c217381fa2244bf45e0395207e06ed,-64251.56640625,5,0.10726512645247825,bi11-3
21,a02b0e41f2df25b5578203d3a0d214105bb96d48,-64251.1484375,5,0.10746932610295291,bi11-3
