bin_left,bin_right,count
0.0003667676424616328,0.004401253800462196,719
0.004401253800462196,0.008435739958462758,463
0.008435739958462758,0.01247022611646332,234
0.01247022611646332,0.016504712274463883,62
0.016504712274463883,0.020539198432464444,22
0.020539198432464444,0.02457368459046501,6
0.02457368459046501,0.028608170748465573,3
0.028608170748465573,0.03264265690646613,1
0.03264265690646613,0.03667714306446669,1
0.03667714306446669,0.04071162922246725,0
0.04071162922246725,0.04474611538046782,2
0.04474611538046782,0.04878060153846838,0
0.04878060153846838,0.05281508769646894,0
0.05281508769646894,0.05684957385446951,3
0.05684957385446951,0.06088406001247007,8
0.06088406001247007,0.06491854617047063,5
0.06491854617047063,0.06895303232847119,3
0.06895303232847119,0.07298751848647175,10
0.07298751848647175,0.07702200464447231,9
0.07702200464447231,0.08105649080247287,14
0.08105649080247287,0.08509097696047345,7
0.08509097696047345,0.08912546311847401,15
0.08912546311847401,0.09315994927647457,13
0.09315994927647457,0.09719443543447513,14
0.09719443543447513,0.10122892159247569,10
0.10122892159247569,0.10526340775047625,6
0.10526340775047625,0.10929789390847681,11
0.10929789390847681,0.11333238006647739,12
0.11333238006647739,0.11736686622447795,7
0.11736686622447795,0.12140135238247851,7
0.12140135238247851,0.12543583854047907,11
0.12543583854047907,0.12947032469847963,4
0.12947032469847963,0.1335048108564802,1
0.1335048108564802,0.13753929701448075,2
0.13753929701448075,0.14157378317248132,8
0.14157378317248132,0.14560826933048188,3
0.14560826933048188,0.14964275548848244,3
0.14964275548848244,0.153677241646483,2
0.153677241646483,0.15771172780448356,2
0.15771172780448356,0.16174621396248412,1
0.16174621396248412,0.1657807001204847,1
0.1657807001204847,0.16981518627848527,2
0.16981518627848527,0.17384967243648583,1
0.17384967243648583,0.1778841585944864,1
0.1778841585944864,0.18191864475248695,0
0.18191864475248695,0.1859531309104875,1
0.1859531309104875,0.18998761706848807,0
0.18998761706848807,0.19402210322648863,0
0.19402210322648863,0.1980565893844892,0
0.1980565893844892,0.20209107554248976,1
