atoms,coordinates,total_energy,forces
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.738520421272273, 5.641378840801421, 0.1525677767510123], [-2.6966890427915664, 5.5686112827239915, -0.1385997895669147], [-5.58897988985195, 2.481978994002222, 0.03132081365382347], [-2.3693058656594728, 2.600365726150148, -0.05934014497892237]]",[-23365.797986549158],"[[0.8123152948760198, -1.004943478368432, -0.16549156305868074], [-0.5275479792526064, -0.2149394576966622, 0.13011588942398192], [0.9391967347397557, 0.8265504724875126, 0.06703743812727983], [-1.2260584721531345, 0.3934166415414943, -0.032129870076632414]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.7466298782583145, 5.5122505158364765, -0.059060899163719566], [-2.5370776094566705, 5.315778878313854, -0.2382378404082123], [-5.374143902337658, 2.486371390978614, 0.13807730994549003], [-2.441358076356547, 2.630786518807684, -0.11088735594529345]]",[-23365.676252143407],"[[1.1767930230960713, -0.4568587498698348, -0.019888054418526976], [-0.962013745214674, 2.4419291995228676, -0.08911026809288355], [0.02360953289252499, 0.15381592005547473, -0.04021423534171545], [-0.2429654232042322, -2.140664648479452, 0.14828305726797414]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.842495788333266, 5.457097598223337, -0.02281106034496748], [-2.8160963454559065, 5.8818921088098834, -0.24537173492219272], [-5.432361157021452, 2.4363372055159305, 0.17652014679800948], [-2.550462951855268, 2.8259012998927546, -0.167030924739093]]",[-23366.028431759518],"[[0.5709718787064273, -0.5016964997315885, 0.05008933895053257], [-0.5296526854608873, -0.7804567380389704, 0.019730024046689963], [-0.056409314551606, 0.6624970310639894, -0.09763373688236807], [0.015874215642863163, 0.6174687623529399, 0.02479895158176617]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.79933519765668, 5.116082504415563, -0.059822216722625735], [-2.7878664354079685, 5.4318414692978205, 0.016248281673878234], [-5.573162896731286, 2.5952959481462123, 0.08527546797679852], [-2.6301245282844, 2.52382246314491, 0.13183698831910787]]",[-23365.269892389944],"[[0.11989780560654976, 5.0682492776882935, -0.2596783228763116], [-0.44868448850425546, 0.5883237492884529, -0.05300856594719727], [0.4555307743548372, -5.1641509642600445, 0.2817573749149962], [-0.12642105787783955, -0.49072266543423676, 0.029423062598066603]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.633004347658699, 5.384494223971793, -0.015334645073128178], [-2.7045259185466457, 5.578694176195941, -0.3407879867299154], [-5.539390096418452, 2.631094560542964, 0.20537729408195476], [-2.707242919361395, 2.9391675923109433, -0.15678483318037878]]",[-23365.524222713262],"[[-0.1860801971950733, 1.9236032581738307, -0.11908939890485458], [-0.25540273022788906, 3.0033052017199546, -0.1984245330771575], [-0.20354997863308688, -1.605027974221652, 0.14641442988212708], [0.6456213290499745, -3.3209867697205104, 0.16964379410940797]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.729253530143303, 5.319906898314142, -0.029733579112408884], [-2.870085160073729, 5.796078851688002, -0.1792322065422834], [-5.605040340599208, 2.451815433976714, 0.18547835670267912], [-2.4233926133192405, 2.7889112321875, 0.2556157124121048]]",[-23365.939668765648],"[[-0.20721539674284675, 0.40979730307988926, -0.10497691440386646], [0.12454389442479057, -0.5887500384276332, 0.1486504681122978], [1.0546074486352235, -0.18624994151937177, 0.11157688843579036], [-0.9707477874691697, 0.36310511832956416, -0.1607585194835818]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.799087097852165, 5.495318580834513, -0.06420646294414657], [-2.715697356280544, 5.687430063195855, -0.13466282752567835], [-5.4402053897826255, 2.443059984821481, 0.03014726432689388], [-2.557430513101567, 2.8033839414101918, -0.011054820354951008]]",[-23366.044263898406],"[[0.6995389347320848, -0.5215063977131262, -0.012398087394410484], [-0.6780768963702426, 0.19261229406611446, 0.024726780676236675], [-0.18907291150281189, 0.5771368732656943, -0.0036413242887510617], [0.1695478919086153, -0.24812933248466182, -0.008367305039571771]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.649983096565299, 5.419748477495028, 0.006060720437226455], [-2.683555808545996, 5.622013084920331, -0.06934615413831954], [-5.434228326409508, 2.4673769492699273, 0.037203611234145284], [-2.558892796864668, 2.8103298007401594, -0.09468409515275446]]",[-23366.061985122815],"[[0.09213059606379943, 0.06731110649865708, 0.019826641014555564], [-0.26969879159581006, 0.8500287710601219, -0.007299165353316925], [-0.19075384825439984, 0.05097404575171096, -0.015829915510968854], [0.36877039300287767, -0.9678923187238523, 0.004058574966894701]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.6530437091439145, 5.4709570348237415, -0.24428634242437408], [-2.7574265663321973, 5.721153254849058, -0.15058208138120086], [-5.565204635091133, 2.460674188249932, 0.24943198330663052], [-2.7515118714095568, 2.6299325870551815, -0.08379868147152159]]",[-23365.94487708919],"[[-0.43936654839989336, -0.5231637317246799, 0.24034341075467824], [0.25042789997819115, -0.8423596803222032, -0.11190516706842327], [-0.7161343863470004, 0.6677487692768339, -0.17874020784325276], [0.9033334254106243, 0.6988869026108778, 0.048964480697267374]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.727083788516226, 5.342579197533008, -0.02792219181921435], [-2.6593335057122003, 5.406259131466022, -0.1672881546443903], [-5.4094392724370435, 2.3815628902214443, 0.00807730436216049], [-2.507778643561358, 2.633984094587683, -0.03795287651506656]]",[-23365.99373913059],"[[0.6641348246807435, -0.0833264140763915, -0.06598544497778042], [-0.6336898611411688, 1.2970883214705176, 0.008474401829700934], [-0.13321679581240028, -0.002896351879226294, 0.04046662525159778], [0.10426086177864506, -1.215759655651925, 0.016914664532803343]]"
