atoms;coordinates;total_energy;mulliken_charges;forces
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.491287285870047,11.091124319609278,-0.010435188846038002],[-5.23889497254697,11.139077029123484,-0.15178738822844828],[-8.311535231296979,8.127533903975422,0.033043143544080056],[-4.645214383845361,8.452468299873503,-0.04279070291317828]];-9.784753178049;[-0.49429336,-0.46286408,-0.52056672,-0.52227584];[[-0.032944693605,0.004857708297,0.001325379790],[0.033283961492,-0.032885797592,0.000049557641],[-0.027717590783,-0.002902995179,0.000492127460],[0.027378322896,0.030931084474,-0.001867064891]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.70016026754385,11.089420940504109,0.013752694042173972],[-5.08613973179222,11.253138794768237,-0.0012438684077255005],[-8.285788023551794,8.188332380723539,-0.14609737250174026],[-4.9610538791582615,8.37612290455215,0.09273432248671908]];-9.789312225298;[-0.51817588,-0.50662461,-0.48660468,-0.48859483];[[-0.037435613673,-0.002595874464,0.000029111960],[0.035361567566,-0.007790977130,0.000028003951],[-0.034329862349,0.001217080723,-0.002422526740],[0.036403908456,0.009169770871,0.002365410828]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.451578957587774,10.999878905964621,-0.05366257253712488],[-5.400118465680795,11.148945250110827,0.11807119755284477],[-8.422473222557805,8.209080638911608,0.06442684996990045],[-4.67466464494102,8.700606645593403,-0.0755679796187298]];-9.763107917401;[-0.46509425,-0.42941086,-0.54676129,-0.55873360];[[-0.013641570950,-0.019966270010,0.000008128975],[0.039881311200,-0.107650913460,-0.007449905492],[-0.016637496420,0.021082363597,0.000078871236],[-0.009602243830,0.106534819873,0.007362905282]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.435340221282393,11.145443383022457,0.15740672891949617],[-5.356930067098472,11.269365244738037,-0.08843819835449512],[-8.34846579395343,8.163975844189828,-0.24536918132077723],[-4.843761384060953,8.777250202339738,-0.06384075660454246]];-9.773763749402;[-0.49196791,-0.45979733,-0.53671438,-0.51152038];[[-0.023497594094,0.001708513085,0.002534414068],[0.048292639226,-0.129244918781,-0.001020867485],[-0.035320447609,-0.007463505049,-0.002463954105],[0.010525402477,0.134999910744,0.000950407521]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.597542825778254,10.990242463613072,0.15723862838516167],[-5.295853529134129,11.267249616488858,-0.0031805783783796712],[-8.297429908250166,7.99747441552027,-0.11104837864147986],[-4.9677898140542665,8.500392152715728,-0.05379900250133576]];-9.806096108910;[-0.50599985,-0.48933655,-0.51176067,-0.49290293];[[-0.036623218387,0.002918385981,0.002576802749],[0.039548095994,-0.022219526965,-0.002519960487],[-0.036984037963,-0.012059850874,-0.001468318675],[0.034059160356,0.031360991858,0.001411476414]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.602260995703803,11.089094317127033,-0.049203894690588945],[-5.096437785582048,11.016334657170773,0.041478910265023275],[-8.297690296266794,8.328428079617755,0.11204693187746793],[-5.002137618287248,8.504556428275055,0.05177914756418028]];-9.753832129948;[-0.53141090,-0.50634005,-0.48768379,-0.47456527];[[-0.021254807546,-0.021034972454,0.000887009403],[0.023811072242,-0.151668176190,0.001095109502],[-0.019960540450,0.024783114948,-0.001226652669],[0.017404275754,0.147920033695,-0.000755466236]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.598742038739482,11.150105633498613,-0.18697702286959683],[-5.505397865108662,11.203140581201096,0.06954212555892073],[-8.274809203958652,8.237078506566565,0.09986985601228154],[-4.893429494009348,8.433948126873474,0.03578591197017714]];-9.815516523933;[-0.50021263,-0.47469012,-0.50635604,-0.51874120];[[-0.029237745773,0.003482829049,-0.003254044131],[0.021717770795,-0.023079864286,0.002842845802],[-0.032035326907,0.004184027992,0.001503707902],[0.039555301885,0.015413007245,-0.001092509573]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.581249537131548,11.114517547361048,0.020751000815985864],[-5.2849257355393515,11.358577564467918,0.01955610538486069],[-8.244693433876789,8.390886018113973,-0.025706407000528397],[-4.8868722300306136,8.38825828803119,0.09147868099893837]];-9.803407902471;[-0.49356388,-0.49831717,-0.48756224,-0.52055671];[[-0.035621089161,-0.036788506174,-0.000509096602],[0.032379440772,0.001488616975,-0.000287960198],[-0.037831140694,0.040586555142,-0.000807178922],[0.041072789083,-0.005286665943,0.001604235721]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.44991905459864,11.117412853475493,-0.09419645112201379],[-5.305096226248917,11.168801508265334,-0.1153295988706567],[-8.30071981318431,8.122772392273914,0.08962481235343184],[-4.801577450795311,8.590251596451381,0.03859960948444754]];-9.789953630504;[-0.49826810,-0.46887543,-0.52516633,-0.50769015];[[-0.030264864201,0.003009480259,-0.000022642284],[0.040513847149,-0.079059513086,0.004553798641],[-0.037136926149,-0.004730358896,0.000551915815],[0.026887943200,0.080780391723,-0.005083072172]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.653244047033494,10.949860395107851,0.19718938425384408],[-5.421582504962695,11.151874446293968,0.14802904136972586],[-8.15092156668236,7.959515727521127,-0.11945933643054377],[-4.8313284537317145,8.493933874438097,-0.17442320823792218]];-9.807047951982;[-0.51316763,-0.47860851,-0.50972946,-0.49849440];[[-0.037380076830,0.009240328995,0.001716038963],[0.036866951793,-0.037681386651,-0.005077627947],[-0.032819093708,-0.011110217925,0.000082179878],[0.033332218745,0.039551275580,0.003279409107]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.473543750367083,10.911509856223274,-0.014725080289111354],[-5.3117500343189405,11.34906859249194,0.10625666412163122],[-8.345694385939014,8.146325385077644,-0.02065390940579699],[-4.6889238443886345,8.564594082110341,0.009785155309915023]];-9.789469164694;[-0.46908394,-0.47558342,-0.52454518,-0.53078746];[[-0.026185130085,-0.032045473909,-0.001120970914],[0.029852049934,-0.008886574406,0.000602646052],[-0.031186513209,0.025191968873,-0.000173154529],[0.027519593360,0.015740079442,0.000691479390]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.479155439814035,11.001462361352978,-0.1282052264797687],[-5.328609743092283,11.292322002433012,-0.015252262874645029],[-8.319709585918963,8.195006389650553,0.1619602649856469],[-4.484408411429884,8.529830086647577,0.09744523704829333]];-9.783526879641;[-0.46330133,-0.45926025,-0.52840866,-0.54902975];[[-0.026681658670,-0.012932583352,0.000058180919],[0.023058676922,-0.005183439564,0.001446178827],[-0.022186149736,0.013270370363,-0.000900561238],[0.025809131484,0.004845652553,-0.000603798508]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.628018196811045,11.073619573426573,-0.04654878420033584],[-5.463499997923421,11.30807117262194,-0.04391804554699291],[-8.368668494800188,8.21359653988807,0.06110328325523188],[-4.8706062333654145,8.461036957389657,-0.0872442158388207]];-9.806559880902;[-0.48907064,-0.48151473,-0.50689282,-0.52252181];[[-0.031979652693,-0.010656134746,0.000185437250],[0.028450043208,-0.007775538564,0.000232383187],[-0.037648827922,0.010808753200,0.001398708813],[0.041178437407,0.007622920109,-0.001816529250]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.556998787430173,11.300667728383921,0.03204936706263483],[-5.345659000726104,11.243970566861782,0.053706563413815994],[-8.351319353313595,8.290228657585489,0.10715548909917441],[-4.848080032919392,8.448862120066082,0.08400563537444068]];-9.802179412772;[-0.50310626,-0.47425867,-0.50967552,-0.51295955];[[-0.035431965942,0.011045353003,-0.000518860669],[0.029367032314,-0.020862127685,0.000529926730],[-0.034772521372,-0.004916102972,0.000440636474],[0.040837455000,0.014732877654,-0.000451702536]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.535357986379587,11.207437936926489,-0.0825170962913759],[-5.304567100814767,11.190652030046538,-0.03960961375240168],[-8.216616317624833,8.176665902947663,0.21537904696360252],[-4.956227006228775,8.59707182111941,-0.02747376859965636]];-9.798950234975;[-0.51738286,-0.47965616,-0.51314529,-0.48981568];[[-0.035707748603,0.010586002759,-0.001787396795],[0.040692787279,-0.086963153387,0.001634721571],[-0.032285591997,-0.010259281118,0.003753398918],[0.027300553321,0.086636431746,-0.003600723695]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.50619363896968,10.97561238919421,-0.06127415703010184],[-5.351356417175514,11.283155076612836,0.09012834671490205],[-8.188221459560529,8.230464760149749,-0.02477088778637337],[-4.743243332471142,8.387011253315793,-0.05973187942967015]];-9.806650168065;[-0.48524740,-0.48740586,-0.49877258,-0.52857417];[[-0.030178326646,-0.032216229232,-0.001380938291],[0.026890914007,-0.002358211837,0.001536829855],[-0.039007003618,0.033888059728,0.000450756016],[0.042294416258,0.000686381341,-0.000606647580]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.698608207896017,11.063416634601285,-0.038773544794941835],[-5.230636026416838,11.134612726188603,-0.05998764456438743],[-8.294985986669246,8.135005715029463,0.13498067898931398],[-5.037815039753296,8.504912673326166,0.0333944059771532]];-9.787640848851;[-0.52337505,-0.49669049,-0.49751091,-0.48242355];[[-0.039265359075,-0.003808190357,0.000477369872],[0.042394890471,-0.075681600286,0.002526334577],[-0.033901585186,0.001513695570,0.000734301516],[0.030772053790,0.077976095073,-0.003738005965]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.596418315542437,10.958045686621237,-0.029541196361360347],[-5.340953623165204,11.139087509786824,-0.046368546356651705],[-8.155417784275658,8.189858609896202,0.17682544367390726],[-4.95293157691176,8.537882411161828,-0.0012892811546877832]];-9.799656366296;[-0.51357511,-0.49237489,-0.49596991,-0.49808010];[[-0.034938046783,-0.028307692182,0.002192863416],[0.044681676626,-0.084727052354,0.001672744283],[-0.035820962907,0.028656943437,-0.000380158387],[0.026077333064,0.084377801099,-0.003485449312]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.596377315664466,11.013711378611687,-0.03311693006141156],[-5.290856024080794,11.188212786548146,0.001764546628476982],[-8.394352106100335,8.263628192011966,-0.1072267087755447],[-4.865884512894887,8.659537575700961,0.15293113070270037]];-9.763768880347;[-0.49265427,-0.46620572,-0.52017443,-0.52096558];[[-0.019793115704,-0.026522004343,-0.001205807701],[0.035547611486,-0.100967796264,0.006371157952],[-0.020840136921,0.025583499198,-0.000577246049],[0.005085641139,0.101906301408,-0.004588104202]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.594995788119613,11.02654602696759,0.0889390269293417],[-5.229418000753381,11.302888940629183,-0.06748557425566969],[-8.218119859661426,8.30670905397276,0.04067296420660396],[-4.688488407864937,8.584033037352715,-0.0006371901020954456]];-9.781357788630;[-0.49608255,-0.48130887,-0.50115905,-0.52144953];[[-0.027255324493,-0.031908722089,0.000785526949],[0.030336816884,-0.026380112398,-0.000533264225],[-0.029151488019,0.032549309052,0.000846120250],[0.026069995628,0.025739525436,-0.001098382974]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.394452142947584,11.228901627426524,0.03301309604972964],[-5.187059756380779,10.896566474329543,0.05247739333541645],[-8.254163478283383,8.289336748326026,0.014882336301638502],[-4.972640284070213,8.64728454554808,-0.032665586497896186]];-9.587854140529;[-0.52335443,-0.47387074,-0.51548229,-0.48729254];[[-0.026874916513,-0.003310605130,-0.000024556488],[0.092185361050,-0.782568978596,-0.029406177968],[-0.022888510433,0.010044345141,0.000430556736],[-0.042421934103,0.775835238585,0.029000177720]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.491944023081414,11.025371178420079,-0.13253029752474674],[-5.26742004121177,11.240681925151483,0.09658948678744195],[-8.47990208120742,8.264051468683876,0.06380177994049678],[-4.844648713678684,8.523352672524314,0.0455461403847925]];-9.784836140666;[-0.47497531,-0.47151338,-0.52597817,-0.52753314];[[-0.026850416292,-0.029038588367,0.000127920973],[0.030965859805,-0.030026414681,0.001238233415],[-0.027053097907,0.026028859772,-0.001906228050],[0.022937654394,0.033036143275,0.000540073662]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.523795978779031,11.170455901960771,-0.20395726743585693],[-5.195569624738293,11.225600423459912,-0.06725993525609471],[-8.400727124077383,8.341420961548215,-0.10095699792555562],[-4.826037740961358,8.555673602728625,-0.10691320204986593]];-9.781420777569;[-0.49433556,-0.47304700,-0.51478716,-0.51783028];[[-0.029653803121,-0.013806452518,-0.000623441005],[0.032709701849,-0.047046473798,0.000399427883],[-0.026657244881,0.014811378582,-0.000545777101],[0.023601346153,0.046041547734,0.000769790224]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.593922117662016,11.22986455097656,0.027626932312794047],[-5.105096702013187,11.304077670775117,0.12835755207710675],[-8.234465472073644,8.255665169942683,0.015179396961044561],[-4.839339219859527,8.433003310856773,0.07243020624815072]];-9.793564543259;[-0.51422859,-0.49382596,-0.49503327,-0.49691219];[[-0.041937806429,0.004992121581,-0.001185489117],[0.037580965743,-0.009718775732,0.000940642410],[-0.035566969983,-0.003882501540,-0.000577586908],[0.039923810669,0.008609155691,0.000822433615]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.522999657984439,11.07572893067775,-0.015611241871132907],[-5.47561665743557,11.18638465790644,-0.023428591018707624],[-8.231717986450377,8.191113603919296,0.06789465508383108],[-4.981928843952074,8.55234071050167,-0.12004196180166629]];-9.818094938449;[-0.50124585,-0.47826607,-0.51202393,-0.50846414];[[-0.023778012272,-0.006879669657,-0.000079876399],[0.027859517677,-0.061008998451,-0.001483745942],[-0.032812251308,0.008985277216,0.002154374715],[0.028730745903,0.058903390892,-0.000590752374]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.756500134564318,11.12161439639429,-0.17604249957289944],[-5.381773603211114,11.215620964320514,0.12369477160214129],[-8.36184564148113,8.15120968838285,0.029063719183990207],[-4.794603502637685,8.557296991063643,-0.026504369123942714]];-9.779550604672;[-0.51116829,-0.47101526,-0.50964149,-0.50817496];[[-0.036443354316,0.007685263100,-0.003467076634],[0.036479069158,-0.039053667079,0.000769715959],[-0.027905830703,-0.006270923305,0.001083417205],[0.027870115860,0.037639327284,0.001613943470]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.685890896583622,10.838722218951363,-0.03858745341863241],[-5.324261565342999,11.12594982450152,-0.13679739828472928],[-8.307125247264748,8.233083443230873,-0.18781694314135813],[-4.90389977840879,8.593521479470931,-0.10348881105013559]];-9.755698985787;[-0.50568353,-0.48578512,-0.49913404,-0.50939732];[[-0.010363486456,-0.063408895009,-0.003325837729],[0.030772818316,-0.102581512549,0.001021817887],[-0.023460481530,0.064577756776,0.003491622704],[0.003051149670,0.101412650782,-0.001187602862]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.57007708752986,11.092661692199195,-0.03465606147577073],[-5.366376312381212,11.222181872208347,0.09019166053693048],[-8.50473708701701,8.422578784211817,0.03916485509055057],[-4.988060335529432,8.520321806351001,-0.15243792347121204]];-9.784078980980;[-0.48067486,-0.47722902,-0.51450294,-0.52759317];[[-0.027386707785,-0.059531999316,0.000920167248],[0.029949800663,-0.040260381496,-0.002750545169],[-0.030315059691,0.061127451902,-0.000128764224],[0.027751966813,0.038664928910,0.001959142146]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.677898847587377,11.005104197351198,-0.01473037198776922],[-5.288822464290426,11.341337410515447,0.06279563845543973],[-8.265592318641701,8.214739138419404,0.07582694168788129],[-4.796793352662944,8.615538800500776,-0.10027070731473967]];-9.786944854911;[-0.50182258,-0.48798380,-0.50124326,-0.50895037];[[-0.032123602302,-0.020263765126,0.000052825424],[0.035649617719,-0.026030254807,-0.001034346056],[-0.033492840581,0.016588616930,0.000918791743],[0.029966825164,0.029705403003,0.000062728889]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.588045105149666,11.109541804280282,-0.023954258571500735],[-5.29813294863399,11.16094038765784,0.044829724263114185],[-8.137471923474498,8.168724451840832,-0.17687813388407073],[-5.038695414886604,8.493873122038002,0.17393603497412552]];-9.814022214003;[-0.52408313,-0.49392263,-0.49720450,-0.48478974];[[-0.038254313339,0.002469881584,-0.000191785313],[0.037506052459,-0.058499423366,0.002450033690],[-0.024525354372,-0.000486376609,-0.003664579988],[0.025273615253,0.056515918391,0.001406331611]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.589342767745062,11.122966981276248,0.03295320502762543],[-5.489102096716718,11.211487576403698,0.17972853627291369],[-8.31755381743608,8.167177445216105,0.09057098445650451],[-4.822601175732785,8.666132647931247,-0.09485582810457711]];-9.791907308301;[-0.49772539,-0.46630825,-0.52125776,-0.51470861];[[-0.028409805817,0.001048075403,-0.001380919293],[0.038286315716,-0.074836564983,-0.006156760126],[-0.035197428033,0.000195208514,0.002579320413],[0.025320918134,0.073593281067,0.004958359005]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.653841860213614,11.250450543187037,-0.13436126975790094],[-5.214022035494139,11.26317881566467,-0.01970133030818497],[-8.35025485746966,8.228356937767737,0.07571324249880608],[-4.933729661723284,8.663446296095545,0.07374737122892017]];-9.775008071355;[-0.51941648,-0.48282081,-0.51112867,-0.48663404];[[-0.036342147332,0.007954142054,-0.001711185924],[0.041367687812,-0.081866351273,0.004079102246],[-0.032288385870,-0.010011668857,0.000441121084],[0.027262845389,0.083923878076,-0.002809037406]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.535088899497689,11.025814186806098,-0.0296004937298475],[-5.310517301703559,11.425308340010087,-0.10075903067119132],[-8.26085324329015,8.252159164902364,0.04038904118169542],[-4.7449885881486225,8.482192579444144,-0.06455853232244613]];-9.798814097779;[-0.48359882,-0.49201529,-0.50003337,-0.52435252];[[-0.033221040335,-0.028816803901,0.001394708666],[0.031772161906,0.005148885513,-0.000676733967],[-0.040329267340,0.025024196315,0.000491349475],[0.041778145769,-0.001356277927,-0.001209324175]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.76507604594121,11.088109493859518,0.1187088106712821],[-5.387238933726918,11.205613227655912,0.08399420558246032],[-8.41994999792526,8.194135621254983,-0.11297228567030851],[-4.864742673928269,8.535902849478838,0.21050839550948802]];-9.780983493469;[-0.50521355,-0.47273243,-0.50914981,-0.51290422];[[-0.033737311475,-0.000844252870,0.000038028763],[0.034871666716,-0.039060016603,0.001279723658],[-0.027319922242,0.002055950020,-0.002354171593],[0.026185567002,0.037848319453,0.001036419171]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.572282070781373,11.206985402167994,0.0353519950487147],[-5.347187001218111,11.192087246102055,-0.05166246852321204],[-8.460360482292645,8.318054183363106,-0.058602655489936664],[-4.882805278287307,8.515496087157443,0.009653567766565514]];-9.789625163209;[-0.49478808,-0.46945113,-0.51564230,-0.52011849];[[-0.032633335957,-0.006716784793,0.000553238722],[0.034065024376,-0.047214598000,0.000177802457],[-0.031560602450,0.010374216754,-0.000377020677],[0.030128914031,0.043557166039,-0.000354020502]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.599909327618235,10.938435123747501,-0.023624902634797745],[-5.45269014577693,11.07213480225622,0.08937711569644817],[-8.340056287485444,8.232523483719142,0.232567709949254],[-4.888553805280438,8.55709949732317,0.0756136347900832]];-9.772890659287;[-0.49266934,-0.46664918,-0.51336066,-0.52732083];[[-0.023514952174,-0.042017841426,0.003398596080],[0.042560430360,-0.111432627536,0.000301703752],[-0.030574887271,0.045720122669,-0.003147754839],[0.011529409086,0.107730346292,-0.000552544994]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.47579096894454,11.014169262912487,0.04021250814214794],[-5.4082337594161025,11.25009774384996,0.11378416239796885],[-8.444748650433809,8.160361663727754,0.09863594209747084],[-4.761895591054755,8.644871426022407,0.1109556241601521]];-9.786440706526;[-0.47128331,-0.45291867,-0.53920353,-0.53659449];[[-0.020379485336,-0.014066745653,-0.000273887604],[0.031066877467,-0.050716917658,0.000460500146],[-0.026832679099,0.010691642846,-0.000314211612],[0.016145286969,0.054092020465,0.000127599071]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.437147638688042,10.935106647860886,-0.08167239995453898],[-5.260337430631011,11.295144160200417,-0.04566343080973198],[-8.398419957589082,8.319670290946378,0.05229346689043888],[-4.874375026116784,8.541511301997838,0.058946147048085124]];-9.780389128503;[-0.47073286,-0.48463151,-0.51997949,-0.52465615];[[-0.023818595282,-0.085740570019,0.004017894111],[0.030115052580,-0.025671133974,0.001353555358],[-0.031867263654,0.080114286978,-0.004326060437],[0.025570806357,0.031297417016,-0.001045389032]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.57307855221088,11.101621625836215,0.11925285724162349],[-5.4720925489303145,11.184181300372686,0.019778902054854344],[-8.509210351977574,8.241399490281923,-0.023562515829430013],[-4.937201792545002,8.569902959579077,-0.04558536487383454]];-9.791020437317;[-0.48553663,-0.46499607,-0.52499789,-0.52446941];[[-0.026065976993,-0.013903284744,0.000157213200],[0.033862470403,-0.063473349790,-0.002365520246],[-0.033263520404,0.014290094728,0.000988563908],[0.025467026994,0.063086539807,0.001219743138]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.65939008688323,10.91639607204791,-0.09255014407830423],[-5.437304374632467,11.160437613986701,-0.08684489024143983],[-8.219021154799737,8.084579309475455,-0.09211313173943973],[-4.876449158166666,8.585248236732076,0.01338782087050324]];-9.794069594267;[-0.50659277,-0.48255247,-0.50558306,-0.50527170];[[-0.034532156123,-0.018601982934,-0.000151893749],[0.047317163319,-0.078964362188,0.003050797190],[-0.038855644594,0.016076571170,-0.001254400432],[0.026070637397,0.081489773952,-0.001644503010]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.631242478383253,11.0152393902609,-0.08111471719464836],[-5.338409845611385,11.014160325141905,-0.011081646653081608],[-8.32573632787618,8.195640072092084,0.08095251370294482],[-4.8664199705169615,8.75145027960082,-0.06494718879684512]];-9.640228034625;[-0.51950081,-0.44578957,-0.52448982,-0.51021981];[[-0.013887808901,-0.005134158408,0.000415317881],[0.117665834762,-0.534558127048,-0.012540144360],[-0.008815298402,0.009238261922,-0.000258125361],[-0.094962727459,0.530454023534,0.012382951840]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.592828658173742,11.00936163063968,-0.10934652741112852],[-5.377932388853842,11.155259668645057,-0.04067125773044195],[-8.38443573341028,8.240794305520993,-0.008502854533210938],[-4.942764429294083,8.582289323879193,-0.0947887170640625]];-9.781290601136;[-0.49517822,-0.47605510,-0.51321838,-0.51554830];[[-0.028331481768,-0.032132511775,0.000733116871],[0.041091093122,-0.089984249144,-0.001407830290],[-0.033273828863,0.031412189064,-0.000523853884],[0.020514217509,0.090704571855,0.001198567304]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.72905724316885,10.99048143896265,-0.06510422751944094],[-5.215948317447823,11.198609101562056,0.0485924814680483],[-8.197502883881668,8.404273280383462,-0.0468128137440223],[-4.920539942728377,8.60685476331126,-0.03083683830179067]];-9.761520663430;[-0.53480789,-0.50870904,-0.46888846,-0.48759461];[[-0.010678506517,-0.062266222945,-0.000170110979],[0.023691275886,-0.082611098542,-0.002019215461],[-0.026221837640,0.067211220222,-0.000454348351],[0.013209068271,0.077666101265,0.002643674791]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.52411546476234,11.15391311997832,-0.13049636394686845],[-5.336165831232511,10.815632012601588,0.22062507539934073],[-8.275506461449604,8.147077418577894,-0.05546316051163339],[-4.986909613372272,8.353087791224217,-0.025275490266735614]];-9.767925612906;[-0.52617950,-0.47768426,-0.50495960,-0.49117664];[[-0.036336682794,0.009392426056,-0.004178479627],[0.047011490704,-0.185616511572,-0.014130490438],[-0.029420692717,0.003477156780,0.001039386385],[0.018745884807,0.172746928736,0.017269583680]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.317106539317834,11.094877179288067,0.11019588342440334],[-5.195343207227672,11.1258115230962,-0.001027083965847043],[-8.219502948233204,8.115795555281636,0.0011050244281138831],[-4.929832802760329,8.598193729447134,-0.030942640133737122]];-9.789126731063;[-0.50199337,-0.47699778,-0.52416608,-0.49684278];[[-0.027334654974,-0.002559860250,0.001024353387],[0.042196140093,-0.135543371509,-0.002748865488],[-0.037453430301,-0.003585904586,0.000328016063],[0.022591945182,0.141689136344,0.001396496038]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.651141072931882,11.034545065191624,0.11698992582101715],[-5.272024518317433,11.357791578697126,0.044207473290205655],[-8.316887773056008,8.185861626136033,-0.12281754386852413],[-5.008297130923932,8.571918982823354,0.09906340462844171]];-9.802460094358;[-0.50508787,-0.49984784,-0.50026502,-0.49479927];[[-0.037285112043,-0.016492117936,-0.000156018915],[0.041353001142,-0.022275585794,-0.000417311315],[-0.038869708562,0.008326824087,-0.001525110030],[0.034801819463,0.030440879643,0.002098440260]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.57349336918199,11.22813237765547,0.043924341196883404],[-5.474768550974007,11.28238683591857,0.03755183680216745],[-8.238673693967542,7.988224076760032,0.014853456705298149],[-4.9402782735172845,8.78490457544939,0.0017837402059278772]];-9.781827802141;[-0.51395479,-0.45907395,-0.53810432,-0.48886695];[[-0.027176615329,0.024581898724,0.000250046321],[0.046487715163,-0.120473151774,-0.001702832618],[-0.032552001875,-0.030508331007,-0.000026069056],[0.013240902041,0.126399584056,0.001478855353]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.659487315414854,10.990840930042,0.042603595741443706],[-5.339468405557381,11.205944275627225,-0.02888128599845803],[-8.33226858488603,8.099490018308243,0.023096232368276775],[-4.549708030900943,8.71771779171868,-0.011819523356913053]];-9.761906620008;[-0.49405356,-0.43850250,-0.52871135,-0.53873260];[[-0.024354998593,0.003449175778,0.000530550513],[0.039488805745,-0.068414693586,0.000023112001],[-0.013482824281,-0.003028408205,0.000081348538],[-0.001650982870,0.067993926013,-0.000635011052]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.518841650708222,11.081996439154068,-0.07373111097154215],[-5.28075826737812,11.286759383247396,0.042776078444877894],[-8.255546286792121,8.241679205646912,-0.016973722582971355],[-4.836152116459522,8.545748797024713,-0.024999936520291158]];-9.803492277248;[-0.49839589,-0.48579916,-0.50595214,-0.50985282];[[-0.035144666174,-0.018141522426,-0.000988915036],[0.037493913928,-0.031601518697,0.000482400109],[-0.039439689746,0.016126564826,-0.000160411399],[0.037090441993,0.033616476297,0.000666926327]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.553330763191722,10.980826797022068,-0.1254110500875439],[-5.429971895774826,11.127847605405057,-0.04170550961471093],[-8.385479898610805,8.20475654562727,-0.03670087802974382],[-4.915908619284021,8.53484299448461,0.014770129038272817]];-9.789730267017;[-0.49002508,-0.47345080,-0.51595387,-0.52057025];[[-0.027625974605,-0.032574130461,0.000248406725],[0.038762099562,-0.076953251106,0.002345660872],[-0.036937495697,0.032539269182,-0.001653731167],[0.025801370739,0.076988112384,-0.000940336430]]
