atoms;coordinates;total_energy;mulliken_charges;forces
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.491050953769847,10.886294885543933,-0.010637288130826317],[-5.231350239290566,11.164441758776277,-0.06857030672096105],[-8.270842897834637,8.33126980923104,-0.12699591498029889],[-4.761201529897431,8.496705951767272,-0.0383860170821903]];-9.762814731514;[-0.47824742,-0.47812366,-0.51147151,-0.53215740];[[-0.013748398142,-0.105874161265,-0.004627794331],[0.024054837555,-0.042820438379,0.000208575264],[-0.027446175752,0.108016518825,0.004500649466],[0.017139736339,0.040678080820,-0.000081430399]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.537401083010877,11.084735867608691,-0.06768794359997146],[-5.354445080598418,11.263147934540465,0.17618810122714987],[-8.231050439000727,8.291938625352682,0.0874016478191979],[-4.882670368472446,8.603593898545798,-0.18674545762278172]];-9.804807555328;[-0.49965221,-0.48415956,-0.50486546,-0.51132277];[[-0.031913936703,-0.024258814247,-0.001471755203],[0.035784585134,-0.046821910979,-0.003244890624],[-0.037596141478,0.024774234983,0.002391803932],[0.033725493046,0.046306490243,0.002324841895]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.471942783258287,10.933241565722625,-0.08723049518896592],[-5.318460211594525,11.281809891221634,0.036270809546289896],[-8.368007139271084,8.156630316002941,-0.04659882441469703],[-4.934721681140123,8.542295698867928,0.011567310126637758]];-9.802488401767;[-0.48584446,-0.48852081,-0.51527635,-0.51035838];[[-0.028884198825,-0.037853672052,-0.000716246963],[0.037214602696,-0.031282376999,0.000939688395],[-0.042535625716,0.028120497265,-0.001200643380],[0.034205221845,0.041015551786,0.000977201948]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.618924757956266,11.13410515009543,0.09589348668262287],[-5.221326853996177,11.252106057535283,0.10897822494866503],[-8.177445797664168,8.224645359421205,0.11926167405589612],[-4.773686401546528,8.542699397924926,0.11164090310675923]];-9.792411028399;[-0.51550736,-0.48594242,-0.49820749,-0.50034274];[[-0.040396103633,-0.003503095467,-0.000125830427],[0.040141589536,-0.039580806713,0.000198525604],[-0.035651910258,0.004592797624,0.000038869311],[0.035906424354,0.038491104556,-0.000111564489]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.720039238759366,10.987974498796367,0.0970974188437882],[-5.2421797137578405,11.315817360613583,-0.06043219050761224],[-8.161489850821187,8.169035000860536,0.15738167153174415],[-4.87563708622881,8.51083285975467,-0.136053094547489]];-9.796820781454;[-0.51527615,-0.50063262,-0.48848325,-0.49560798];[[-0.039030935868,-0.015069685343,0.002216174219],[0.039348089663,-0.018310187559,-0.002144618291],[-0.036459748402,0.011703865017,0.002812663812],[0.036142594608,0.021676007884,-0.002884219740]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.553146847657155,10.962549709137486,-0.015273509493494729],[-5.283748971190315,11.420822416295863,-0.08000435214960713],[-8.48238875159244,8.34816584621934,-0.13010666994525905],[-4.973229687133429,8.702507038392344,-0.03536736803048068]];-9.772180462711;[-0.47202131,-0.49236341,-0.52076897,-0.51484631];[[-0.018173976193,-0.081551091023,-0.003126936692],[0.028425633808,-0.029275073571,0.000299413892],[-0.027468027729,0.072712359054,0.002877801498],[0.017216370113,0.038113805540,-0.000050278699]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.6779915662678,10.96709003450706,-0.10599933229316072],[-5.351122566152913,11.0760770828095,-0.011922125736341306],[-8.209315230808365,8.298100609660306,0.047788993605768305],[-4.92918731486699,8.667802587103358,-0.003831818882489637]];-9.729928098751;[-0.52434372,-0.48633395,-0.49190798,-0.49741434];[[-0.017618222854,-0.041903704723,0.002050580817],[0.055115477318,-0.239785328198,0.001257823385],[-0.021542017335,0.048163718940,-0.002594516135],[-0.015955237129,0.233525313981,-0.000713888067]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.530867821551443,11.01520648385708,0.19082410415303483],[-5.354527275856825,11.322536862874749,0.03866479553549937],[-8.299575537506245,8.128592629033228,0.11316002707669477],[-4.987494326043652,8.700888771792053,-0.02827624678872826]];-9.801401422126;[-0.49703315,-0.48588130,-0.51789065,-0.49919490];[[-0.030291165184,-0.016833560534,0.001156017659],[0.043530245020,-0.068419653158,-0.003458652113],[-0.040326526444,0.005330705876,0.002013884465],[0.027087446608,0.079922507816,0.000288749989]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.664142510103202,10.96789787398928,-0.1106636205044532],[-5.292545886839658,11.02844056028563,0.04580753571753102],[-8.227121959445075,8.118605753570376,0.044019831509209996],[-4.807727931368652,8.567560424156648,0.038437976739029725]];-9.753226177993;[-0.52106922,-0.47364094,-0.50545451,-0.49983533];[[-0.027264505698,-0.005140949938,-0.000782917398],[0.049863321170,-0.157214739315,0.000561131840],[-0.021367784099,0.008528094564,-0.000484924684],[-0.001231031374,0.153827594690,0.000706710241]]
['Bi' ,'Bi' ,'Bi' ,'Bi' ];[[-8.4790193754173,11.15112359474275,0.19537509217022714],[-5.354837018864503,11.216236865286735,-0.09156133325741438],[-8.327801490839281,8.142151481910426,-0.03546786698472023],[-4.898571698860148,8.640932117249525,0.06578221297956625]];-9.793427042081;[-0.50006978,-0.47054193,-0.52586377,-0.50352453];[[-0.028957132026,0.004777668286,0.003449327755],[0.039919496642,-0.083692282797,0.001913942546],[-0.037453589021,-0.008097967344,-0.002017077659],[0.026491224405,0.087012581855,-0.003346192642]]
