bin_left,bin_right,count
0.001615897790756439,0.0018953864184975916,2
0.0018953864184975916,0.002174875046238744,7
0.002174875046238744,0.0024543636739798964,3
0.0024543636739798964,0.002733852301721049,3
0.002733852301721049,0.0030133409294622014,4
0.0030133409294622014,0.0032928295572033535,8
0.0032928295572033535,0.0035723181849445064,7
0.0035723181849445064,0.0038518068126856585,4
0.0038518068126856585,0.0041312954404268114,7
0.0041312954404268114,0.0044107840681679635,4
0.0044107840681679635,0.0046902726959091165,0
0.0046902726959091165,0.0049697613236502685,8
0.0049697613236502685,0.005249249951391421,1
0.005249249951391421,0.0055287385791325735,1
0.0055287385791325735,0.0058082272068737265,6
0.0058082272068737265,0.0060877158346148786,12
0.0060877158346148786,0.006367204462356031,9
0.006367204462356031,0.006646693090097184,10
0.006646693090097184,0.006926181717838336,6
0.006926181717838336,0.007205670345579489,4
0.007205670345579489,0.007485158973320641,14
0.007485158973320641,0.007764647601061794,11
0.007764647601061794,0.008044136228802946,8
0.008044136228802946,0.008323624856544098,16
0.008323624856544098,0.00860311348428525,34
0.00860311348428525,0.008882602112026402,51
0.008882602112026402,0.009162090739767556,27
0.009162090739767556,0.009441579367508708,10
0.009441579367508708,0.00972106799524986,7
0.00972106799524986,0.010000556622991014,10
0.010000556622991014,0.010280045250732166,7
0.010280045250732166,0.010559533878473318,7
0.010559533878473318,0.01083902250621447,10
0.01083902250621447,0.011118511133955622,13
0.011118511133955622,0.011397999761696776,5
0.011397999761696776,0.011677488389437928,7
0.011677488389437928,0.01195697701717908,2
0.01195697701717908,0.012236465644920232,4
0.012236465644920232,0.012515954272661386,3
0.012515954272661386,0.012795442900402538,3
0.012795442900402538,0.01307493152814369,2
0.01307493152814369,0.013354420155884842,2
0.013354420155884842,0.013633908783625994,0
0.013633908783625994,0.013913397411367148,0
0.013913397411367148,0.0141928860391083,1
0.0141928860391083,0.014472374666849452,4
0.014472374666849452,0.014751863294590604,5
0.014751863294590604,0.015031351922331756,7
0.015031351922331756,0.01531084055007291,2
0.01531084055007291,0.015590329177814062,3
