idx,config_id,oob_model_count,force_std_rms_oob,source
71,0b486692e2b28a3e86570fdec8e38755a90bf7dd,5,0.009391138794653229,bi11-3
72,0c8c7e0be5375fa24b872ea81e83aae73a524390,5,0.008735744690241513,bi11-3
73,fc7d9d4e4be43a3729573827de154a1c9cf0dd4f,1,0.0,bi11-3
74,000c10c3281763c5444c2af0c2c1c3f763d25d3e,0,,bi11-3
75,20f8710fca8a106340650828644a9bbe1612992b,1,0.0,bi11-3
76,3ccc724c9104ab1d02a597cc9a50db6f694da878,2,0.012991468021595008,bi11-3
77,a1bfb03521654eb5d78b6e31813149a7604180f3,0,,bi11-3
78,0282b6071d105812b88e58047835bdb54acce8f4,2,0.010042789889065816,bi11-3
79,467d9a303b42efb395679ebfde3f4b514d699a20,1,0.0,bi11-3
80,9af65e6fa0db7c34d4bdc8a471f212bde9097d8f,1,0.0,bi11-3
81,09cd804ddd4ab0958ecd7e032ee251144c08f207,2,0.011589527805761496,bi11-3
82,ee5dc39e6ee739d74c22715f7e2239a2b98bda75,3,0.009301052875185322,bi11-3
83,ed9bab3ccddbe46aba05ba707caf0db63c6ef02e,4,0.008815743799953915,bi11-3
84,c906c90c695032d34e87ea0f2679ca248f2c2c16,0,,bi11-3
85,328f9af2c6c1f38be2badd6317376241517052e3,4,0.010895153523542301,bi11-3
86,df4fb40d50424995bba9f705b8a1e3ab2d352d44,1,0.0,bi11-3
87,a880268b58280be3bd1e889e14fff625bb9f38e4,5,0.012367249000566849,bi11-3
88,4370499e629f051abf3c6f5cb41f6e54c3de87c6,2,0.010529714076290901,bi11-3
89,c39687e749162245c03ad40fa91151a509b308e4,1,0.0,bi11-3
90,ad0abcea9c112d056c52b988373f0f60bf626961,3,0.01086221466145171,bi11-3
91,a33809cc9ebfb693141a8b291d57a7ae3a9484e4,3,0.009413010084251007,bi11-3
92,acb9cfa7636afc41e904f2bbc57825f06ea9daf4,3,0.010469583685851767,bi11-3
93,0c0e39410ca6e1393024767681316d6604aa5abc,3,0.00866915410875402,bi11-3
94,4f9cede2652ff7b7e1d259a99f5f8fcff1983918,2,0.005066170772239888,bi11-3
95,7cd91f1dfccf3ea6c6e1a9431ca441f570847c8f,2,0.009570190009929513,bi11-3
96,3c084dfbe526094b3e61ff96183c64cb1e225af7,3,0.0065226395028201035,bi11-3
97,192a631ac33681ac94fd0d60e3a44f97de3d26e7,3,0.007408043809137562,bi11-3
98,cbc9afb545fb2bc44726a63af7db52cca2c2cf27,4,0.009790643236664563,bi11-3
99,7aad6d2034ad4895d905e5de666d891f5dc2a035,5,0.0043648225879715855,bi11-3
100,a56ebe77ca530a4e619b065cb0ee2afb37fdf466,3,0.007647222900056567,bi11-3
101,030215acb82eafdcc08942755f0b733252034a82,0,,bi11-3
102,57496cab16f424a06f79fd1c99c5a2f5676f5c11,5,0.005945088445947876,bi11-3
103,05bebbbcc49f281ef8b7495562fac8f138c87dd2,2,0.011785646386374731,bi11-3
104,03bfa2221fd14ea0e4ab7cde20308c411594c4f7,2,0.011907540549639448,bi11-3
105,e0dee0dd2f262f96253790893569ca3c84960542,1,0.0,bi11-3
106,b56a8052d5fb7ea08d3341688bcc207434c01cf1,5,0.01238120730460574,bi11-3
107,46b3509b08d877bd34f1ccef4828df651ca456db,2,0.006043411357091154,bi11-3
108,c3f681e9816d11d65f6d627414b75c450e7a01a7,3,0.006777582914052404,bi11-3
109,2c85cfaecc262780d2b4851a2c876455cff4f30c,3,0.009331153029041864,bi11-3
110,c3f63521f6dea958f58e01bf03ad5003817d4076,1,0.0,bi11-3
111,301cbfc608361a57903e3fff649d4284f8004f50,4,0.009648903178340745,bi11-3
112,7cbf14c58a6febf109548dca9d5c9d9f6cfc74eb,3,0.007820387981840681,bi11-3
113,cb16f91b6142ee1301dd2e86b3280f64b9b348b8,3,0.007053009880703256,bi11-3
114,07c2fd273ce11ffc56c1e3986799fb4ca553a910,2,0.009556660046469406,bi11-3
115,e1e01e8030fdfd82bf2dbd7173614a81ca8dfcfb,0,,bi11-3
116,c30c54763e562a97c1eb757ba6ddefb703679804,2,0.011619333176750433,bi11-3
117,19e4286317b49dee222d94abd8e3b234c9543c80,3,0.007174409015168507,bi11-3
118,5d6a991233ba16d821f41502b3d348b0f1796f83,3,0.011699274146361523,bi11-3
119,acf9f1846854d5471b8fa420dfa208b21da77a67,2,0.012100169506794928,bi11-3
120,6c750c588f1c556b4882cef8249dd95926be12ec,1,0.0,bi11-3
121,434cfa7fcfd07cebff1a0ba778b43502dab958a6,5,0.01211171801404355,bi11-3
122,90ed60f6bd831c1d653a56f38198575c7033ada3,1,0.0,bi11-3
123,1df67530ad1f41f8f56cea16c69eec97aff98974,3,0.008280878416383837,bi11-3
124,27603fc623373707b9a389774949360bcd75b2ef,3,0.008921298978634081,bi11-3
125,ef89f3cd1f38d0c72c82bb945d04830cfb4d41f3,2,0.005849879772946993,bi11-3
126,d69bd4b3431dd37bb8ca444b2b06949a8fe14688,1,0.0,bi11-3
127,016e141273cae9d1d79a2f8bafd85a1c7afab441,1,0.0,bi11-3
128,e5ab9ad53234c3b52230de790c4f63f8270b703f,1,0.0,bi11-3
129,2b2b0b4367a07989a2cb8cbc695cae9a96f4e2eb,2,0.015235376704823361,bi11-3
130,efc0b82ad7d26f24caf3af66e958a7a45d546ed0,5,0.01458075579560467,bi11-3
131,ec097224df9a98ca615694663eb3de21b7c9564f,3,0.009578440212172893,bi11-3
132,cf2b23c84d57c62058f213a0cda7e0a666eb172d,3,0.01716468364136421,bi11-3
133,089722437e5c7d5a290cae85c9c652cb1ed19f2a,4,0.009544351462191672,bi11-3
134,62dfc5f6a98350726354b43c9359f714f1957e72,5,0.01216550776098155,bi11-3
135,89ad4e7518296a40eaa0037975fda762e9f65ebc,2,0.006432664653985754,bi11-3
136,2d4a5f8876b30f237904594c0920b85df3a3b26e,5,0.010066222089898547,bi11-3
137,85d1de079b1713d1a8eca2439d739816ca2eabc2,5,0.010169497936526857,bi11-3
138,acc299084ef4a820ecd3b1b5554d413ad6c44e26,3,0.01113237632412807,bi11-3
139,4cf7c4364696f849f6959e76343b4f23d5f0f19e,3,0.006177208111130259,bi11-3
140,6825937d39de97c66a55404f8e61ccb6289188bd,3,0.02128383911621764,bi11-3
141,dcff6f443886477a25cae96506318050b20a6080,4,0.015364057189265312,bi11-3
142,ef93fffa29cd300c0dd118b78e3561a012cd48db,4,0.008375346609193559,bi11-3
143,19bdb2da130fff8c287ef540c80bf4eb7d734306,0,,bi11-3
144,5d7f4e1af03ccd226b20437edf7e69a1cea7434d,1,0.0,bi11-3
145,d824f168c6249d3ea3a9aa16f0f6bcf6a22efe3b,1,0.0,bi11-3
146,77ea8bd0286ac58b22e32bae1c423ba31e5d4dcb,1,0.0,bi11-3
147,4b28166feedaa671eb7286052b232dcf531f2c2c,2,0.004807525345295998,bi11-3
148,be2d976b49a2d85c89c189e2ccf1fc60825ee04e,3,0.012112939136440203,bi11-3
149,29c96055579f46bc14384c00a0070696c9c90548,5,0.01442834559420147,bi11-3
150,2834f32abe2d5926539586965678720f0a5c0b37,2,0.00822112084056943,bi11-3
151,a0519e85e9b78bea4d487d93c314d1ad80baf939,5,0.005571122998285357,bi11-3
152,30129254862b52bbcdb4ce7330f49de0f3178a91,3,0.008492702035603799,bi11-3
