bin_left,bin_right,count
0.00036676764246162757,0.004401253800462191,719
0.004401253800462191,0.008435739958462755,463
0.008435739958462755,0.012470226116463317,234
0.012470226116463317,0.01650471227446388,62
0.01650471227446388,0.020539198432464444,22
0.020539198432464444,0.024573684590465005,6
0.024573684590465005,0.02860817074846557,3
0.02860817074846557,0.03264265690646614,1
0.03264265690646614,0.0366771430644667,1
0.0366771430644667,0.040711629222467266,0
0.040711629222467266,0.04474611538046783,2
0.04474611538046783,0.04878060153846839,0
0.04878060153846839,0.052815087696468956,0
0.052815087696468956,0.056849573854469516,3
0.056849573854469516,0.060884060012470084,8
0.060884060012470084,0.06491854617047065,5
0.06491854617047065,0.0689530323284712,3
0.0689530323284712,0.07298751848647177,10
0.07298751848647177,0.07702200464447234,9
0.07702200464447234,0.0810564908024729,14
0.0810564908024729,0.08509097696047346,7
0.08509097696047346,0.08912546311847402,15
0.08912546311847402,0.09315994927647459,13
0.09315994927647459,0.09719443543447515,14
0.09719443543447515,0.10122892159247572,10
0.10122892159247572,0.10526340775047628,6
0.10526340775047628,0.10929789390847684,11
0.10929789390847684,0.1133323800664774,12
0.1133323800664774,0.11736686622447796,7
0.11736686622447796,0.12140135238247854,7
0.12140135238247854,0.1254358385404791,11
0.1254358385404791,0.12947032469847966,4
0.12947032469847966,0.13350481085648022,1
0.13350481085648022,0.13753929701448078,2
0.13753929701448078,0.14157378317248134,8
0.14157378317248134,0.1456082693304819,3
0.1456082693304819,0.14964275548848247,3
0.14964275548848247,0.15367724164648305,2
0.15367724164648305,0.15771172780448361,2
0.15771172780448361,0.16174621396248418,1
0.16174621396248418,0.16578070012048474,1
0.16578070012048474,0.1698151862784853,2
0.1698151862784853,0.17384967243648586,1
0.17384967243648586,0.17788415859448642,1
0.17788415859448642,0.18191864475248698,0
0.18191864475248698,0.18595313091048754,1
0.18595313091048754,0.1899876170684881,0
0.1899876170684881,0.19402210322648866,0
0.19402210322648866,0.19805658938448925,0
0.19805658938448925,0.2020910755424898,1
