atoms,coordinates,total_energy,forces,source,charge
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.615131831639625, 5.384636072054097, 0.160007722290091], [-2.833942920719286, 5.660467730959342, -0.19265846667678765], [-5.487053263908214, 2.6282138220566553, 0.15377610042788958], [-2.405703543283842, 2.6722507453234585, -0.024418200068386117]]",[-23365.896484375],"[[-0.8136198733393496, 1.3025406058405158, 0.020710098258908606], [0.9089903697051023, -0.11617443479958169, -0.017555219243170155], [0.6069426602069564, -1.4932049796555702, 0.045523669141310355], [-0.7049058584300637, 0.31294081111172023, -0.04653710086433554]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.0255437664263691, 1.693306895243702, 0.3599586415017243], [0.2504321149627627, -1.1633106522045618, 0.25572361297469176], [-1.6654379021599268, 0.9515922480350006, 4.0645947811270275], [-1.750132741158535, 2.5252909321230765, 1.6866092115075533], [1.44013855273417, 3.6768972702912968, 2.5913420805902465], [0.9461866526305982, 2.3787046487754604, 5.082545643091469], [4.7050473656340985, 2.475565067961938, 3.1930746404551695], [0.016061514089516456, -1.7045652245971157, 3.092396379273421], [3.742712795054982, 0.40546792264520215, 1.0400875748132612], [3.531877721122264, 0.9195808995352889, 5.431664798359812], [3.1238406345738543, -1.3301063530315465, 3.2186063912904928]]",[-64250.953125],"[[-0.10253518780738441, 0.5031273194297418, -0.3252379415137359], [-0.09597486020806702, -0.2795234964126718, 0.07966505831186631], [0.5054975693189306, -0.19745543233928153, 0.17549675941698062], [0.09681417158680049, 0.17713717556040523, -0.08994232895670455], [0.2873163087029268, 0.0898934779697056, -0.7470519189081753], [-0.5917006380423695, -0.32169696486559446, 0.745795162990013], [-0.3390908987185307, 0.18499251711401887, -0.2605778495242827], [0.2940219551330432, 0.1998340640293976, 0.019747656681892004], [0.41704159591928347, 0.5188144512190265, -0.3353868626179959], [0.131280959752861, -0.5748671021434485, -0.2416829562402809], [-0.6144672548675415, -0.2887227029075807, 0.9900788943560263]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.671080921012446, 5.483033835859246, -0.18871955577872074], [-2.8261695497380352, 5.625761750197635, -0.270534617006358], [-5.682030364796982, 2.4008248274044135, 0.13488264063156205], [-2.5681636910391763, 2.8792500767068603, 0.047212306889224356]]",[-23365.869140625],"[[-0.6150149001428454, -0.4920951724805409, 0.04840132651914352], [0.31036039913425273, 1.1069705644889356, -0.12491207660048789], [0.8818662448396244, 0.7798309311844681, -0.07997024842538077], [-0.5713359471147984, -1.3918664353412937, 0.15711001924195106]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.0514995617863914, 1.7233886276011954, 0.17807687754947685], [0.07236541367153562, -1.2738269048666897, 0.15647290333823946], [-1.3603009357004239, 0.9017161410312126, 3.9030869873402114], [-1.7025621691755495, 2.4124982765041216, 1.885638895788209], [1.6818950729425053, 3.5059867353847745, 2.524754184977379], [0.8469886398655015, 2.4895307236942052, 5.1696773252883705], [4.603865647928391, 2.5747675879467407, 3.0757935694181], [0.064375561330471, -1.7486381288835697, 3.203412820575388], [3.8872127752861805, 0.448098595101739, 1.175998495994738], [3.6747170929560817, 0.6537902855466777, 5.344771003315753], [3.2345421504811145, -1.544192130767264, 3.4291427121630003]]",[-64250.12890625],"[[-0.14335872351220566, -0.6432523132909835, 0.3155569100207427], [0.16896096015534584, 0.30553613276869473, 0.9805796913788523], [0.18805233725126655, -2.347182453127954, 3.486396211698941], [-0.4987460029610353, 2.494869785464999, -3.5495086015760853], [-0.152016198272342, 0.37071872463067035, -0.09264558831095149], [0.7330517402551933, -0.535263864093861, 0.016714776578421974], [0.0804073362037924, 0.013748158982159142, 0.7720718517862881], [0.5388798655736146, -0.04454304471271183, -1.0471270769733951], [-0.17116161998651103, -0.7820348820294942, -0.3126011681968486], [-0.18606384496995157, 0.9566735610043154, 0.0984178723568385], [-0.554371284882354, 0.21448473214083935, -0.6732725303541253]]",bi11-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.1839880222411296, -1.4456211088044846, 0.9154598147919604], [-1.0970490987598718, -1.4955735812083686, -0.9426812086231637], [1.0971536282480467, 1.4957352654902942, 0.9426881928253512], [-1.1840925517293057, 1.4454594245225603, -0.9154667989941486], [-3.254232676709118, -3.1228308682818406, 4.189738692700111], [-1.4736428090475218, 0.9829909934398369, 2.6030523633841396], [-2.916883879216475, 1.487830134461801, 5.257624623008801], [-1.2879577843115713, -1.0791640628722905, 4.8678454253161005], [-5.27541514853808, -1.4580378196712023, 2.779062415171475], [-3.5257980433434066, -0.06491542928681865, 0.8171774562024483], [-5.683485402103361, 0.7079175097373023, 4.772534566990023]]",[-64250.3359375],"[[0.34715460258721775, -0.03800866984301377, 0.132554325006603], [-0.6126829082897904, 0.0062403279234285085, 0.22496573711250903], [0.4027347873342227, -0.1794338404365462, 0.030573873580951143], [0.18148902717063764, 0.5992339744585228, -0.8832674968351204], [-0.12000111258852965, -0.21966864461489277, -0.013140684103304354], [0.007413019006279415, 0.05005335891305556, 0.7907344714826328], [0.05007427227770027, 0.06289307465656399, 0.2209022605918451], [0.09487771846216227, 0.2384645503726072, 0.0020064622454377796], [0.0040384699575295975, -0.2888891562180181, 0.29953445477227897], [-0.12767025474853996, -0.27080040706368214, -0.9069036612288736], [-0.23244688010571074, 0.04866561035880782, 0.11077475522926768]]",bi11-3_samples,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.612725202528593, 5.3185281064063155, 0.01553106383323355], [-2.958008066830156, 5.630926614772884, -0.3690879461377391], [-5.535220850498052, 2.5648348241834045, 0.020451652518124613], [-2.3370881518645716, 2.7960389292757895, 0.12050560510524116]]",[-23365.59765625],"[[-2.003758471862617, 1.3018515498133727, 0.06519709289180059], [1.9977868243676828, 0.49313626414662576, -0.10891127005257842], [0.9098362631115576, -1.547450658281947, 0.22796292514221483], [-0.8995076217972331, -0.24929332294961778, -0.18602692390819867]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[11.999916511404999, 20.51070126960366, 15.555203150199153], [9.07331088903483, 16.940001905714816, 14.410644870157272], [7.318101344229635, 19.22937645163781, 15.610195556736421], [9.893944544721164, 19.792330246608273, 13.681042494966169], [11.168754241648447, 18.890134790715518, 17.9469698136923], [10.989993135947403, 16.213364118675514, 16.793156465376192], [8.521064153299053, 19.880781669193397, 18.427957321934933]]",[-40890.0703125],"[[-0.01979054270626792, -0.005961800164397149, 0.06127369014859472], [0.3069784710153615, 0.1295149708618033, 0.8360995548935171], [0.8613817404386769, 0.04499415015328757, 0.22829994553041602], [-0.4435926215741263, -0.17191104554916642, 0.36669319761359087], [0.6560569283147809, 0.06648583335092437, 0.009447667756994672], [-0.5593808250438669, 0.034983497911071255, -0.731544044530131], [-0.7922750773463049, -0.10045732393090714, -0.7666051692306483]]",bi7-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.712206814574991, 5.337708239205101, -0.12833616750454613], [-2.7370420325981706, 5.6842525605617125, -0.0285634307588917], [-5.423157611270605, 2.552826834310412, 0.18595754170801854], [-2.526509168316759, 2.697321772135966, -0.05501774455791167]]",[-23366.044921875],"[[0.1899601482708959, 0.9061806666212892, 0.05208836761841187], [-0.25521149146931116, -0.21449105705810345, -0.14578096113597971], [-0.08744285535138059, -0.896408412337837, -0.028438247269004485], [0.14982813685361343, 0.20394181497091, 0.12374422947866362]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.778112733299191, 5.299994206998243, 0.3257418860269923], [-2.7283605991287883, 5.640826955146722, -0.2584241058557973], [-5.379306570985774, 2.4509096192519717, 0.22878951342721837], [-2.483793610456662, 2.7669947172246396, 0.006542020454058165]]",[-23366.015625],"[[0.6959460731935412, 0.565833269095054, -0.2519302478057293], [-0.8004378201633708, 0.2845187926548177, 0.232354885983878], [0.08272672964441077, -0.47639060860221133, 0.11219529050910544], [0.028008230028184818, -0.37752567258119507, -0.09259668590186096]]",bi4-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.2093729267279264, 0.2525683318034412, -0.030146574711136177], [3.3471877507893164, 0.2920032667075614, -0.04728477442582996], [3.8589737520380436, 2.920769055537823, 0.14092719215890143], [6.912192458954602, 2.9140908755566097, -0.2285912654806286]]",[-23373.87109375],"[[0.1761191209913472, 0.10777119086020617, 0.001665287466458057], [-0.46584537743816096, -3.183615737395811, -0.2460859728316333], [0.2731504994929725, 3.1985481985690996, 0.2634871057773905], [0.01801384259353457, -0.12270375487767765, -0.021043580807209198]]",bi4-6,"tensor(-6, dtype=torch.int32)"
