idx,config_id,true_energy,oob_models_energy,oob_models_force,energy_std_oob,force_std_rms_oob,source
783,f443c68db180e6f45987d4b7faa3dc6698c5f8da,-40890.125,1,1,0.0,0.0,bi7-3
784,62b4c198afb85da333ceb34d3496ad5b21fb3964,-40890.03125,5,5,0.11116660723887972,0.0038349946953585073,bi7-3
785,7ad471ad5d0fb844824fee6fe0d40307fc22e2c3,-40889.80078125,5,5,0.11077765029333961,0.006327825206476286,bi7-3
786,febb34493c471104c985aa616053a61a473539bd,-40889.84765625,3,3,0.07624519986172441,0.012157724876868614,bi7-3
787,bf34cf974f696c0cafc36acfd8b5b4fde6ae03bc,-40889.8984375,5,5,0.11248189408327773,0.006743295874534466,bi7-3
788,5da5d9666736921dd2401933404dadd764619b22,-40890.02734375,2,2,0.05047319357062465,0.005411303917902217,bi7-3
789,07e68945b525185daf43b0daaaf6cdf7d462176c,-40889.5703125,3,3,0.07480228530170195,0.008775487411284536,bi7-3
790,8e64be3a515c4f251b9f0102d532164e5b0d6300,-40890.10546875,2,2,0.14362084891727536,0.00578319957113495,bi7-3
791,48dea04e9168d8d0e4cbecd261ccd4336ef67727,-40890.0859375,2,2,0.10784000620104699,0.0051475393589604035,bi7-3
792,6b71e87f7fc28e366de51266f725ce451ed7acbc,-40889.953125,3,3,0.11077951729318308,0.004243279672972433,bi7-3
793,bfb8eae75b5eabc2290566ac0722957db9075529,-40889.95703125,3,3,0.07359328692736301,0.006399148147994736,bi7-3
794,7a4daba8e9225cfd57e0108eae10f58322b18eef,-40889.8125,0,0,,,bi7-3
795,3500780e699611d75ac1ea4a6b4b07a16e73a619,-40889.78515625,2,2,0.19656868150160262,0.010841521150376654,bi7-3
796,1bf4c4121233a26f353de86601f626ba6d980a35,-40890.0625,1,1,0.0,0.0,bi7-3
797,eae1d698cdb7a39573ed6441beb193bafc1eac40,-40890.14453125,1,1,0.0,0.0,bi7-3
798,3cb21aada0167a2f0629d9caa525f1fa3736f703,-40890.23828125,1,1,0.0,0.0,bi7-3
799,3f00991af449ff143542c119fa1daa4402da6959,-40889.53125,3,3,0.07387829058719747,0.012892253065421026,bi7-3
800,89bc29317f2c405e13019034e5905e3328c1a26e,-40889.98046875,0,0,,,bi7-3
801,855541bcf691da8c754f4a7a02e6d7d240e45b2a,-40889.9375,2,2,0.051313388191730286,0.0030014304475979997,bi7-3
802,265d0ff057a16d056c7adb6684d3cbf87eec5b1e,-40890.1640625,1,1,0.0,0.0,bi7-3
803,d609d43ded3da013a7a25f4875d08c3124ae31c0,-40889.83203125,3,3,0.10776244747026403,0.010580030395328493,bi7-3
804,c88fa97e5ab977a030feaca8b575319665d1dc80,-40890.01953125,2,2,0.0550242932237146,0.005213182487695519,bi7-3
805,985095ae6c4a0bbc74f0d3e24581ade0a267591f,-40889.59765625,5,5,0.10979465318040042,0.00762146466312306,bi7-3
806,6e1a4f9966771ba6ebc140b756c37c77a8c77085,-40889.83203125,1,1,0.0,0.0,bi7-3
807,629b80b2a10609e2c7796ed5b080a3f65e19f60a,-40890.0625,1,1,0.0,0.0,bi7-3
808,66f6d4c3857fa8cf224484b25981f1b5d2a41bba,-40889.8984375,1,1,0.0,0.0,bi7-3
809,a3b555f82c6847380adf3a89c14466eba2835de6,-40889.765625,3,3,0.13878207011522659,0.0059755985760730134,bi7-3
810,105c151b75faa17a0615f188182f86f92d1903cf,-40890.0703125,4,4,0.09408810767831756,0.004463746391879215,bi7-3
811,a54bb0b6c872ca5013c4cd7973dc638d5f2d9f04,-40890.16015625,1,1,0.0,0.0,bi7-3
812,03fa288f7dc514a62b5d1603fa7528371f8a69f2,-40889.79296875,3,3,0.10516740286989425,0.0085280820918302,bi7-3
813,1b2fb47869efd7cb82980c68a8b500ea49746bde,-40890.0078125,1,1,0.0,0.0,bi7-3
814,9ecd33b87fa7e3c28759ca46cdc1226ccbcf3603,-40890.12890625,3,3,0.14425196138526344,0.004768726485165744,bi7-3
815,84dad20e592303b87beecde206aca702c40cfade,-40890.03515625,3,3,0.0736673189579808,0.005359676935568404,bi7-3
816,04ef34131c4db1391649b6075ffef3a7f68e3376,-40890.234375,1,1,0.0,0.0,bi7-3
817,eca41e4e3900f727a0bfaca91b4e6a69606239bd,-40889.88671875,3,3,0.07338595111033881,0.005490523188384131,bi7-3
818,01eb2f744f81135bca7bf9370310f011dd2e1b10,-40889.921875,2,2,0.03961087237360471,0.00522009255563623,bi7-3
819,789493f626d7606e190dd8a81ef203e53ca88119,-40890.0703125,3,3,0.14491661396984554,0.004774753374137024,bi7-3
820,f10d76101729ba400313b4572e701616169026d9,-40889.9375,2,2,0.1547840201378242,0.005747058375646342,bi7-3
821,062d0a55a4ea68644b6485c10350fe7a682348e0,-40889.75,2,2,0.05211848743768671,0.008089404093712877,bi7-3
822,ff9c711251f221b4728f0b0ccb68163c6785c941,-40889.8984375,1,1,0.0,0.0,bi7-3
823,11b24dcecbe3042937ab0727e3c8c65fb6bf1316,-40890.25,2,2,0.041830395170457446,0.004578090964300028,bi7-3
824,cac20ce3c329e0c75dff2afad684091faad7969b,-40889.49609375,1,1,0.0,0.0,bi7-3
825,b1de914dd051c7f42b312a8ddb332c4d5ae06230,-40889.91796875,2,2,0.05633317045205432,0.004955013930090964,bi7-3
826,e6a5e91682b97af92576713ab2ec661b24eec3eb,-40889.94921875,4,4,0.0887086171263337,0.0046418301241047105,bi7-3
827,28ed4c135cb578d03ec5499b6ef02db2630292fa,-40889.73828125,2,2,0.050490259725824625,0.005683568570237284,bi7-3
828,fa109af430eb0aba2be5b88ad0f199c29e91a731,-40889.73046875,2,2,0.04758966947338823,0.007118278135273247,bi7-3
829,7e646e058a331866f4bca0aa6bde37ac2cbd1b58,-40890.00390625,3,3,0.11013187526473077,0.007614543967762422,bi7-3
830,83fdcff9d3e42fe3aa62508457ba348741ca879e,-40890.20703125,2,2,0.1455880864051922,0.003156297170204047,bi7-3
831,f940f52819a476a15ceafbd21bc0d152aa118158,-40889.54296875,2,2,0.1447892549543432,0.013321126578783588,bi7-3
832,6623f20bbf04908b60f579b6cb4dbcdac2f8194e,-40890.109375,4,4,0.08791868373718022,0.003889918406567377,bi7-3
833,92b044a94c26afdc485bf1b53af55de299cb4e17,-40889.921875,4,4,0.08586626672151494,0.00966679859446953,bi7-3
834,d32bc21544fcce728fe7c755c75466b0c9c79883,-40890.0078125,2,2,0.05037111256071786,0.005288667738705534,bi7-3
835,c2d25886ca125515af5d71cd0e1dee4598972216,-40890.04296875,5,5,0.10865034638920122,0.008565891505617006,bi7-3
836,90bc11d33335a7e20a161c836fccd05ef87a8155,-40890.13671875,4,4,0.09495641583146963,0.003387562221219704,bi7-3
837,a779cfc374513508a2bfc54cddae24e4cf434ef1,-40889.9609375,3,3,0.14540870947502121,0.006725912201830333,bi7-3
