atoms,coordinates,total_energy,forces
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.600664709096424, 5.400181167703395, -0.06863104991632811], [-2.789081510257194, 5.685402320566483, -0.17222897961139563], [-5.591754975334368, 2.5432826477027333, 0.07687240197879588], [-2.6163167762248785, 2.6454441462063514, -0.0899294224082751]]",[-23366.03515625],"[[-0.8955836019889283, 0.4856398487922254, 0.03263590459543159], [0.7686548538009408, -0.48031437130005816, -0.03206335560117648], [0.21103677805636217, -0.4032603211101482, -0.01741151506604673], [-0.08286443800565622, 0.3990008235763896, 0.015804955227716973]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.550643098004694, 5.450753090962213, -0.0011369761034078982], [-2.8373076466516154, 5.711432572608459, -0.28461344294726515], [-5.6425598565342465, 2.4506816457093907, 0.007507196476734951], [-2.5798785904394332, 2.6076258229293208, 0.005148544750855459]]",[-23365.84375],"[[-1.7252934477829833, -0.46152746440836995, 0.060622737891310875], [1.6074427556421473, -0.7729048896698492, 0.022465195950970105], [0.517388516619573, 0.5123808276533568, 0.0897030105425013], [-0.3978574533701564, 0.7202851775791634, -0.17266319648267545]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.675381555004403, 5.322342678386058, -0.03625623154600582], [-2.860962641264252, 5.682813011861029, -0.19524118505770058], [-5.420969602115217, 2.3188168042057344, 0.0665985636035293], [-2.4751975232396295, 2.803605085661325, 0.016873374252076554]]",[-23366.076171875],"[[-0.7223703433926448, -0.3938810858726253, 0.0014562916312164194], [0.5924318601846064, 0.13783974468943105, 0.010736593335648123], [0.18303055863195805, 0.47243475851921984, 0.024294392876995266], [-0.057473597580992505, -0.2118226104598547, -0.03564982537373688]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.800186917504054, 5.500085299548581, -0.1239538267855677], [-2.651927519282123, 5.575889508125972, -0.27228289725948157], [-5.524276542170702, 2.4801836556248116, 0.06224706717845084], [-2.566958810529624, 2.701178018063738, 0.09838546633909248]]",[-23366.009765625],"[[0.9371527065995368, -0.4100282396931653, -0.08062608578136451], [-0.8792838274005854, 0.21476261712372602, 0.07987892279073854], [0.2113945215474692, 0.4262963382730964, 0.047404303585540826], [-0.2715827941870389, -0.23507809710965713, -0.04557596540844502]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.564577039670779, 5.4441668262181135, 0.016341942399961798], [-2.8038136257134747, 5.396212070682975, -0.20281415775104583], [-5.2490914799600485, 2.590291414635857, 0.07933698220014652], [-2.5927046416226673, 2.6715279322352705, 0.014998581520780586]]",[-23365.3984375],"[[-1.5045574348132094, 0.4107922691298288, 0.041777790884858654], [1.7359038821591544, 1.9419162076474459, -0.2148321912136308], [-3.1031134245888747, -0.9215625568749679, 0.18767109386430847], [2.871928442610484, -1.433258647956874, -0.015444162406579387]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.700730784546631, 5.518763245412035, -0.07799698712031097], [-2.691950136497868, 5.768533073398784, -0.2761357183099814], [-5.5199077939879, 2.441727464648415, -0.03979897345022439], [-2.473315904853574, 2.6505150576614502, -0.09655692450825289]]",[-23365.955078125],"[[0.4907989243960467, -0.6951500592159163, -0.06912707766272842], [-0.41873266282291227, -0.9276339632275631, 0.1335744878814157], [0.539391515384814, 0.812614057228087, 0.023181495402231068], [-0.6116945756896645, 0.8106152805284564, -0.08811113685352617]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.669933488287247, 5.3738920012901135, 0.030652433239498428], [-2.875933779754128, 5.804171800132251, -0.1037233152574029], [-5.553833857962189, 2.574712018580799, -0.1578399966825505], [-2.444612666588983, 2.719179625548287, 0.22194615772409773]]",[-23365.84765625],"[[-0.7527248040510425, 0.8107129825024545, -0.10527937914652731], [0.7638767130515282, -0.6117593675250526, 0.21621513694452518], [0.7804454251788232, -0.83628313176045, 0.2066198260781922], [-0.7924072321216599, 0.6376334213442731, -0.3206315505501932]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.818328862260277, 5.47576188377935, -0.04115395967175269], [-2.9038523674501038, 5.605936900232803, -0.026402987299389752], [-5.347424842069063, 2.4532599230765957, 0.2218287423301205], [-2.7035662516872017, 2.603403469369197, -0.16035250453579747]]",[-23365.71875],"[[-0.21279279106165375, -0.750099192055078, 0.1984657735946029], [0.5539856191955201, -0.3160942708777311, -0.18151910909421068], [-2.7576850101938337, 0.35279082377878984, 0.16259768201095476], [2.4202815274104292, 0.7113737291087242, -0.17901680727384991]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.807144290660523, 5.614353685515306, -0.07087841145051718], [-2.7193422143947648, 5.73287732901435, -0.026300065360522706], [-5.5284824989484145, 2.544945840937572, 0.04082985179857553], [-2.6067877483396362, 2.697825746171475, -0.06501896925873257]]",[-23366.015625],"[[0.7362604787696503, -0.6927116236332952, 0.0906568389191786], [-0.5940187459306985, -0.5570349492260859, -0.07240986398905759], [-0.0919499502560865, 0.6648058829758342, -0.08351055658633175], [-0.05166686073374832, 0.5826364659599441, 0.06541743655421162]]"
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.796669384879959, 5.383540877274858, -0.21377876824197162], [-2.661348765955426, 5.731659523736505, -0.06832902938327753], [-5.4118135536675345, 2.3583018250511514, -0.08488753828169486], [-2.5314703425771135, 2.6414933485928205, -0.1506061513290881]]",[-23365.9453125],"[[0.8653690094196224, -0.490644812387588, 0.13626756566153025], [-0.8176904461086512, -0.852940289885259, -0.12966831153888841], [-0.21949838606967856, 0.6185805079728527, -0.09816785814758706], [0.1717679378683053, 0.7223950259966021, 0.09128706807355658]]"
