source,n,mean,median,min,max,q50,q75,q90,q95,q97_5,q99,min_oob_required
bi11-3,376,0.09885328281787137,0.1071238808849639,0.013386944433437077,0.21151273600035325,0.1071238808849639,0.11943676885595378,0.1450416637596073,0.15541496092442927,0.19703126236276866,0.19980965046405508,2
bi11-3_samples,200,0.22724972937118992,0.24234023593528886,0.00045812177076887947,0.5942558926660887,0.24234023593528886,0.28439573141185637,0.3397085831942209,0.3803231519013574,0.42000568964830487,0.44407843880479614,2
bi4-2,381,0.008314372774276367,0.008611497788179693,0.001615897790756439,0.015590329177814062,0.008611497788179693,0.009813544932483202,0.011649881165390747,0.014364872048619698,0.014801022464551616,0.015083383148742894,2
bi4-6,382,0.01704154931314404,0.019819882075993306,0.0007729290894975196,0.037692831741269965,0.019819882075993306,0.025779650056881355,0.028169913845416613,0.030830698889168447,0.035681477360714815,0.03618869358138828,2
bi7-3,372,0.10447306663176605,0.11008751953174972,0.038471835955302416,0.19667164682874116,0.11008751953174972,0.12300114606123955,0.1465243010953959,0.15488253542350733,0.15680782068095106,0.19621035917120752,2
