atoms,coordinates,total_energy,forces,source,charge
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.30587572273593777, -1.5411933483573732, -4.954175109927734], [2.1789918214436974, 0.615634190807772, -4.8659987454265465], [2.2344042857142874, 1.6651102857142845, -0.43472628571428373], [-0.8187277142857123, -1.7900297142857156, -1.568851285714283], [-2.390408714285712, 0.6064332857142851, -0.4865642857142838], [0.05497828571428798, 1.0651202857142863, -2.2766692857142843], [1.3902922857142883, 0.053998285714286, 1.918678714285715], [0.944853285714288, -2.5819637142857133, 0.6132167142857163], [-1.4153917142857129, 0.9813312857142868, 2.234915714285716], [-2.1356483245493076, 6.092286772737311, -0.20537259771658167], [-0.3841439471872793, 4.24901330337173, -1.5102938050738028]]",[-64248.75],"[[0.8551103021498437, 0.6231215928800915, 0.06809375073247177], [-0.7189723715811812, -0.8236770060101432, -0.08921923150493699], [-0.012415627469847684, 0.3220643757099181, -0.04411847821359941], [-0.09258419033360754, -0.16726973898544234, -0.15084716844241144], [-0.41722512136412476, 0.316246788801351, 0.6187836252345852], [0.10779052556663943, 0.06617796928864784, -0.3378770288247443], [-0.07984740104860132, -0.10088844674669573, 0.19130473312147322], [0.18017416428899233, 0.053985328576718304, -0.08876116351316161], [-0.11791435269020942, -0.08366770249819362, -0.25523956793131264], [0.6106671622999392, -0.749881162386788, -0.3179054597872857], [-0.3140695774439453, 0.5289708285265652, 0.40325049949065683]]",bi11-3_samples_bi2,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.086461827577605, 20.50767937371051, 15.486208240910981], [8.942918117170843, 16.86027406188137, 14.51091681943274], [7.461476159044367, 19.510813478041445, 15.530781697965727], [10.018756717843456, 19.820966514827266, 13.538107678582112], [11.22720985562689, 18.875638348320084, 17.934297836569694], [10.910645099524451, 16.284573638311105, 16.654329998111766], [8.4510496154103, 19.803300883176803, 18.18366313445428]]",[-40890.1640625],"[[-0.1658272978945924, -0.22817360145140927, 0.054673047629480304], [0.30060058899696224, 0.7770207138797393, 0.2108251247274278], [0.4135956987184694, -0.44063996507572695, -0.7480124835788494], [-0.43952832229999717, -0.40802853739588635, 0.7055244661917451], [0.2942342769491681, 0.37937815343028664, -0.1486112844785155], [-0.3410847903194614, -0.25469953312556215, -0.39510652573701677], [-0.05757284221773773, 0.16893823159086846, 0.3086882555603246]]",bi7-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.007512138186653, 20.418548170531523, 15.501454020809087], [8.967834923255976, 16.973373975347855, 14.47743057473333], [7.394568264999429, 19.42623070971503, 15.488115993405476], [9.912889685472505, 19.635155791074823, 13.798117381347469], [11.110532884029087, 18.771388120871656, 17.919321550446778], [10.752558583930334, 16.315984965468065, 16.550922596953484], [8.473472722150559, 19.70033329798218, 18.235572557989844]]",[-40890.04296875],"[[0.4385297052815556, 0.06403495362214146, 0.5889145891206823], [-0.6463546080758745, -0.5063769385070032, -0.33672635668150697], [0.009611951055167548, -0.05404734361916117, 0.27453889596557407], [-0.2189700240787163, 0.7675456792856068, -0.8755557257611921], [1.1104004179971774, 0.5260063449471029, 0.13214788479477177], [0.3293597306862491, -1.12908154964649, 0.259756227345052], [-1.0268210072302228, 0.33421341048818964, -0.043766560845468164]]",bi7-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi']","[[0.022731474397434084, 0.0987248268588969, 1.4563801074458373], [-0.0022323348889288284, 0.03416657189300742, -1.3548731559365164]]",[-11684.775390625],"[[0.001980304855893965, 0.006019038094532441, 0.4005740824682136], [-0.0019826142220267257, -0.006021084693777239, -0.40057377393566407]]",bi2-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-2.059319431455653, -0.2719088815190077, 0.12240808351880406], [-0.0029303974178762626, -0.8360653049852389, -1.905227320180039], [0.0029891763103677693, 0.836083269951656, 1.9054099107104046], [2.059260652563163, 0.2718909165525908, -0.12259067404916979], [1.8838706974015493, -4.221306706193522, -2.1344908666052165], [0.6792567818281043, -5.912568089259364, 2.1356832742473575], [0.7969706342691247, -2.8546821356635927, 2.2772395183490373], [-0.32031278975500754, -4.226789820173585, -0.2255160644581492], [4.193785879577062, -4.392431553877788, -0.2685513775614019], [3.3688120026373753, -6.7353740850315695, 1.368818769866113], [3.549270953375016, -2.1733982678814234, 1.600220097621413]]",[-64250.77734375],"[[0.1679533956929697, 0.08784379339941299, -0.17936087248859725], [-0.1271884811725472, -0.3756493833037029, -0.14368684787856384], [-0.17429358531824238, 0.01391897802817156, 0.44124895690628324], [0.8134383533560797, -0.1993971819393523, 0.07869189522875572], [-0.07597464906559961, 0.2687117959700651, -0.005584948224059807], [-0.2527471905746264, -0.03308620785137872, 0.08159642064943833], [-0.4447140859693475, -0.06845601936763764, 0.05779920226486337], [0.005200876622064937, -0.035579042864679986, 0.26714501626177994], [0.06506498953853712, -0.2915294749321738, -0.2540066718636424], [0.4106362545039817, 0.02879152218035339, -0.05544350482759104], [-0.38862759930866714, 0.6045978128310071, -0.27999827658421]]",bi11-3_samples,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[11.99399972374759, 20.50885884281735, 15.726727775908772], [9.053260078664364, 16.71285628793252, 14.50206385899978], [7.544950782312471, 19.440030736607365, 15.531522393523995], [9.799285013738066, 19.615788510658327, 13.689744467916421], [11.15115527182767, 18.848935275824545, 18.11589105610871], [10.717501791386274, 16.178728404268853, 16.6812090641952], [8.399610855767882, 19.704726864277234, 18.197853401881527]]",[-40889.98828125],"[[-0.4703283039598253, -0.4546200376909021, -0.44494620529072976], [-0.5799887424646012, 0.751212994558654, -0.4153700694104543], [-0.7285147691152807, -0.5038337047017466, -0.4019068402377279], [1.1244931564149996, 0.27192027737406427, 0.29436869429655255], [0.40358731419049165, -0.18498187274106226, -0.5495463500296055], [0.5784193402296456, -0.05383106230198479, 0.8228341979291823], [-0.31354162682971565, 0.16523095589856424, 0.6938079426257348]]",bi7-3,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.0028405124103612, 1.637997720664851, 0.4106047770113005], [0.17873164270885097, -1.3562942030432021, 0.22916939408129247], [-1.4276074474409433, 0.8224811237948942, 4.0166683205912], [-1.8111362451109152, 2.5079583728707817, 1.705119786211031], [1.4844671153351123, 3.7288049514455652, 2.4566015843788906], [0.8662192444760353, 2.309416914562279, 5.196126390204125], [4.661949558341262, 2.5718175053708907, 3.195085137318908], [0.05092912577647514, -1.7750207736900367, 3.0952374241884133], [3.768044704600342, 0.592542859980521, 1.0992440106049113], [3.50917446350993, 0.910567665470279, 5.223085506187762], [3.131595127832201, -1.324019295913422, 3.3012591269285307]]",[-64250.97265625],"[[-0.35043831451119534, 0.07104064795661451, -0.5357513455220189], [0.06410586468642729, 0.22822260670468295, 0.15768934052566697], [-0.2516569393889931, -0.13881198217489324, 0.1622769110036922], [0.35520946185615343, 0.049111789563010405, 0.05030674126930536], [-0.18854521799904012, -0.29422733496680503, 0.6964638936557301], [-0.024881653731650806, 0.5544551028916259, -0.5147325655895777], [0.01939564161178676, 0.6722492307317263, -0.5710968343889614], [0.4306896360891405, 0.03813378493403181, -0.1464545391135578], [0.2876289035976285, -0.4701348026292178, -0.15264437054305688], [0.05543589435803753, -0.42547425329504146, 0.9850534133461242], [-0.38756357338973846, -0.2704108332978884, -0.12768249320633548]]",bi11-3_samples,"tensor(-3, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.19541154070561373, 0.45271555745118097, 0.11864762516154309], [3.4063121016196787, 0.04921483594712835, 0.015214242235100364], [3.805770348288217, 3.0759663263956374, -0.07093928623322629], [6.671674961815527, 2.694607303637787, -0.0731642154607227]]",[-23374.185546875],"[[0.33733951370148113, -0.14712734575976225, -0.01813058616804374], [-0.4252793635679615, 0.37048372567215965, 0.009104682406170492], [-0.9989641175597608, -0.10796356090479885, 0.014472094614019415], [1.0889008415084833, -0.11502674513765593, -0.00765746934522214]]",bi4-6,"tensor(-6, dtype=torch.int32)"
"['Bi', 'Bi']","[[0.14782931416307593, -0.16397823858688462, 1.6040944807548476], [0.021607084610485508, -0.07760417475372981, -1.4625900964857916]]",[-11684.6767578125],"[[-0.05402317523611958, 0.037197424641863486, -1.1856175682317438], [0.05402142688500594, -0.03720044826084826, 1.1856175682317438]]",bi2-2,"tensor(-2, dtype=torch.int32)"
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.19489676740687462, 0.2834976066170066, -0.09824731485071254], [3.4033047051766734, 0.012914578596664575, 0.02223193997674238], [3.9469992854958424, 3.015355103965157, -0.056427233726566446], [6.679681661455729, 2.782465360737599, -0.15932113117480598]]",[-23373.974609375],"[[0.3560581320555541, -0.1092062271698689, 0.028348150622350955], [-0.37701726236176497, 0.15632912335924998, -0.028211105606086858], [-2.3867363259696273, 0.18243617067540985, 0.08318901424769552], [2.410120007893733, -0.2294132852351678, -0.08129683554390583]]",bi4-6,"tensor(-6, dtype=torch.int32)"
