source,n,mean,median,min,max,q50,q75,q90,q95,q97_5,q99,min_oob_required
bi11-3,480,0.01648041789611258,0.016183997146721765,0.0,0.09561975084436816,0.016183997146721765,0.022495594631633507,0.029833976262514356,0.03786930809753776,0.04343178865318504,0.05966316454756397,0
bi11-3_samples,233,0.1993668176643303,0.2027573970602369,0.0,0.5217627055964419,0.2027573970602369,0.26767703452202407,0.32868697279781434,0.3583433380620351,0.39105964677245614,0.42666583160646804,0
bi4-2,481,0.004311799188003226,0.003571787677273327,0.0,0.03576908900843978,0.003571787677273327,0.005519200520349505,0.008093413277724486,0.011612119014195345,0.017180284798757557,0.025838004860020268,0
bi4-6,486,0.005268492575794219,0.003821737308186243,0.0,0.06609557340955183,0.003821737308186243,0.006772436045685518,0.011341951495661045,0.017224454542327863,0.021565482508852526,0.030303099615780996,0
bi7-3,481,0.010658518650849835,0.009930939449734838,0.0,0.07268563295617327,0.009930939449734838,0.014900851427057065,0.021301298978726887,0.025552064152931528,0.031205879319600706,0.037708611618015975,0
