source,n,mean,median,min,max,q50,q75,q90,q95,q97_5,q99,min_oob_required
bi11-3,376,0.025384451692484714,0.02293107931074506,0.00915359256546721,0.1074103492925837,0.02293107931074506,0.029321656326467035,0.03832319860786139,0.046544933748605,0.05653907861546472,0.06968382804485192,2
bi11-3_samples,200,0.2845945741835261,0.27106935208142735,0.09599995290217661,0.5732225992628072,0.27106935208142735,0.33804379361981485,0.40749593987215726,0.4671703291772756,0.5070798938398989,0.5248921584572382,2
bi4-2,381,0.006510810900085751,0.005071232936101134,0.0007027836735794704,0.04199172398929019,0.005071232936101134,0.007308944861512348,0.01105784322298727,0.01569847912716097,0.021500730722756756,0.030332358579489786,2
bi4-6,382,0.007601948754659566,0.005562355224174097,0.0013892203756465725,0.0663610484667243,0.005562355224174097,0.009048392142566366,0.014561628959773202,0.019811009345086665,0.02413552175253281,0.03510688856228578,2
bi7-3,372,0.01710633356780458,0.014810970064604991,0.004190474008435127,0.0900717755258891,0.014810970064604991,0.02029415752192141,0.028993322148751874,0.03567599242927217,0.04017988742827922,0.0450802740497467,2
