source,n,mean,median,min,max,q50,q75,q90,q95,q97_5,q99,min_oob_required
bi11-3,376,0.023612424387488805,0.021437568126952255,0.009055653849106088,0.09836851046568804,0.021437568126952255,0.027132168033554054,0.03494919726107759,0.043892119267598846,0.050815411738719264,0.06198209072304708,2
bi11-3_samples,200,0.263680786567703,0.2462925528981948,0.09356360099253665,0.5484766932966205,0.2462925528981948,0.306361969547287,0.36851093661556433,0.4201418639849187,0.45465569395733113,0.4825810947241628,2
bi4-2,381,0.0063834025339084425,0.005021518860294416,0.0006966714564722743,0.04187600047860131,0.005021518860294416,0.007156766262669163,0.010937455462558095,0.015230737369312575,0.020798257954227656,0.03012162228140325,2
bi4-6,382,0.0073782623903100196,0.0054159808405366185,0.001384608949233381,0.06504951010340414,0.0054159808405366185,0.008761150700753666,0.013844368166034128,0.019369610522447008,0.023766979394047597,0.0342088691857129,2
bi7-3,372,0.016215406472491124,0.014397527583138125,0.004168835304625417,0.08508264804605471,0.014397527583138125,0.019433187997581557,0.026449869415693446,0.03350395025782089,0.03847076797167826,0.04066302143702431,2
