source,n_energy,energy_mean,energy_median,energy_q90,energy_q95,energy_q97_5,n_force,force_mean,force_median,force_q90,force_q95,force_q97_5
bi11-3,376,0.09885328281787137,0.1071238808849639,0.1450416637596073,0.15541496092442927,0.19703126236276866,376,0.009501757288746837,0.008732660624754654,0.013486131767996661,0.016620665187186648,0.019599049779209347
bi11-3_samples,200,0.22724972937118992,0.24234023593528886,0.3397085831942209,0.3803231519013574,0.42000568964830487,200,0.1010256604876193,0.09610591283876653,0.13911149080449703,0.15346262604875568,0.1684247295304758
bi4-2,381,0.008314372774276367,0.008611497788179693,0.011649881165390747,0.014364872048619698,0.014801022464551616,381,0.0030488834828830557,0.0023903496930017957,0.005457284794731505,0.006851651000140851,0.009602672083321198
bi4-6,382,0.01704154931314404,0.019819882075993306,0.028169913845416613,0.030830698889168447,0.035681477360714815,382,0.0032803363208453555,0.0024133957696685377,0.006363612821017074,0.008437127940066734,0.01108156373030934
bi7-3,372,0.10447306663176605,0.11008751953174972,0.1465243010953959,0.15488253542350733,0.15680782068095106,372,0.006798371998493214,0.0060411891470794725,0.010833294092914095,0.013213874155871401,0.015428719360311243
