atoms,coordinates,total_energy,forces,source,charge
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[0.010719779212835324, 0.043623944741024746, 2.626498119939885], [0.06949434711249028, -0.1300783175051326, -2.556856187334058], [2.151883929051672, 3.4334980998250515, 0.10297488625275655], [2.200247856453771, -3.5928882222974043, 0.052715714441952735], [-3.9536941456493087, 0.010611703579235188, -0.09564598922641476], [2.6247078002844875, 0.8319023804001853, 1.1618475443906715], [-0.6095823417042936, 2.5787778822282563, -1.309592237277176], [-0.5604350802280053, -2.6413223317977192, 1.2224031457197937], [2.496907742214936, -1.0187757898141017, -1.160079233117115], [-2.0718899740045487, 1.9500317920132182, 1.315233929328412], [-1.8528336493065014, -1.9488654272214725, -1.3128886954020447]]",[-64251.64453125],"[[-0.08192274524259127, -0.04148262293699271, -0.4675913631355948], [-0.14116932511909605, 0.6077026787204769, -0.22088241166449604], [-0.8062819408711922, 0.2451546159089755, -0.6310066564026372], [-0.7875334462819125, -0.07280617404884798, 0.4457412422486148], [0.5578520462612578, -0.16257551908948467, -0.012000671759651162], [-0.06518655136302713, -0.4835910898195812, 0.5972207995732505], [0.525539432355576, 0.007912327515500221, 0.5950564437387392], [0.49278448561814175, -0.11288578635481265, 0.3522862702162281], [0.8106085956565514, 0.3825343899892428, -0.3734644586325606], [0.32329454640673466, -0.5937174124740523, -0.546187459007741], [-0.8399736952729914, 0.22824734073073188, 0.25995384244298564]]",bi11-3,-3
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.25324687376999017, 0.11287729026032506, -0.1616182596813127], [3.533004551325754, 0.024766505692488696, 0.17533535862590655], [3.9847961645513164, 3.058355438767634, -0.10153783395643566], [6.860613721423252, 2.7008265856461753, -0.07949608373001228]]",[-23374.24609375],"[[0.5021662919602435, -0.08993420426623525, 0.06943417039363127], [-0.486583649861045, 0.3289159066138408, -0.0979898348665446], [-0.9431294963036287, -0.09351616432136428, 0.0030950941494073112], [0.929033158339396, -0.14730362068969105, 0.025366975431962438]]",bi4-6,-6
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.624997974126964, 5.376223812259334, 0.053580847299854045], [-2.8798833326108753, 5.7420494283648456, -0.09853691578119396], [-5.515408300829541, 2.277987236191947, 0.13158213742029395], [-2.5002008825727415, 2.6997001013888187, -0.12007150735827457]]",[-23365.896484375],"[[-1.3277610848757821, -0.8511842254578759, 0.12521891222093284], [1.2608172349551738, -0.6244590814820311, -0.09793003097403956], [0.4282227126677854, 0.9199684720360549, -0.08632067104687743], [-0.3606089357381011, 0.5569943257737395, 0.05837415267079518]]",bi4-2,-2
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.628785951623442, 5.3851578618453875, 0.028362936665185356], [-2.6414308533753803, 5.317028386705794, -0.20331299496698046], [-5.62813863484641, 2.409875460751099, -0.0019128846891166285], [-2.5103602055897154, 2.5852203063871744, -0.10415210464078287]]",[-23365.8828125],"[[0.4214547426626767, -0.012629754201386957, -0.08469511588791882], [-0.4733652412663208, 1.7633133996328891, 0.023375130430276576], [0.8394800431938443, 0.022048260490247835, 0.020686284688298907], [-0.7880605227205852, -1.7760871614017402, 0.039769598800260195]]",bi4-2,-2
"['Bi', 'Bi', 'Bi', 'Bi']","[[-5.5303028328571235, 5.4410635635275675, -0.07192969181206145], [-2.8185586054083784, 5.623030281766254, -0.2571869246333334], [-5.548219145036863, 2.5097551311263104, 0.06419487874159482], [-2.521611102904644, 2.6903567631737957, 0.01221719834051951]]",[-23365.9375],"[[-1.8698275774644753, -0.047996326125876475, 0.06227451831697418], [1.806204051997048, -0.016344984891258265, -0.05103813310444442], [0.34418456542186504, 0.021546031206225412, 0.04493310698837552], [-0.27630838155885906, 0.04329344674969711, -0.0578680564454861]]",bi4-2,-2
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[1.1483014511686969, 0.4714904744848746, -1.6699746133532658], [0.15426755565333305, 1.9666870404989005, 0.6612477062311222], [-0.15425420104086096, -1.9668784671476545, -0.6612305454481352], [-1.14831480578117, -0.4712990478361213, 1.66995745257028], [-7.137769885042673, 1.8544448285171704, -1.090442547930818], [-4.627962664112075, 1.168731288682985, 2.881523161853406], [-3.0953973253069846, 3.0974018940693124, 1.0605249727518955], [-6.148992209640053, 3.2790147105566616, 1.2538183301790342], [-4.981455475074422, -0.1669500700479556, -1.4235984701821631], [-4.886296738520588, -1.2865264367654317, 1.3311131618320058], [-2.58142176505205, 1.5850695689911474, -1.3779868917009503]]",[-64250.3046875],"[[0.2568586439067324, -0.13684549854877356, -0.27756878844552346], [-0.016991278307045162, 0.34713742760863076, -0.2924744587090997], [0.12400571081433694, 0.01161737148902996, 0.1401772901283764], [-0.4559120177417953, -0.6162449165733873, -0.11745772451699821], [0.36894234847711393, 0.07038002834611402, -0.1585661386091607], [-0.020483496527952547, 0.03250698941184595, -0.10090063378239968], [-0.2979341992823767, 0.29850457312215806, 0.20861479754304604], [-0.20853951560097606, 0.1538728443108514, 0.19906849192998674], [-0.3714562716901713, -0.48973186457371504, 0.217976240736883], [0.2011238843524445, 0.029597424626188733, -0.015469127832040427], [0.41578165183144333, 0.3058869856995303, 0.19698697708500745]]",bi11-3_samples,-3
"['Bi', 'Bi', 'Bi', 'Bi']","[[0.209232052138055, 0.3054136702664747, 0.12400517011652036], [3.3126171885701545, 0.07824363008158683, 0.0018950613546751937], [3.70045095723953, 3.0999056683042396, 0.09659609013667683], [7.022854443658171, 2.809560034433775, -0.21429129134690286]]",[-23374.322265625],"[[0.1445347467465908, 0.016017919819986588, -0.002044471398648454], [-0.08920195368216684, 0.15297198068849926, 0.007529376915101746], [0.6015088877899263, -0.251759269351233, -0.07572653747373655], [-0.6536976827531897, 0.08374581265530036, 0.06857634706192978]]",bi4-6,-6
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.019990289913652, 20.428926046724456, 15.488875132518883], [9.097655015284165, 17.066846491588592, 14.598514802820217], [7.458912053528475, 19.346525472161176, 15.532480617317924], [9.874982545304555, 20.02444305896868, 13.900994900668376], [11.280123206982946, 18.884641739745724, 17.989905325824925], [10.94539725804759, 16.222606874598945, 16.651526117639783], [8.197717472128337, 19.712147944683313, 18.37941607038628]]",[-40889.99609375],"[[1.376776622567777, 0.26147012565734135, 1.4212932414676271], [0.04979111138821774, -0.39969862135910084, -0.5237026352444157], [-0.4074069985749851, 0.29418043801928606, 0.7053290622437494], [-1.2035710772852302, -0.4033010474066778, -1.2963082483412818], [-0.5819427819445591, 0.15554565637197007, -0.0766638079369258], [0.030352655742983285, 0.2711804163204424, 0.17967177045427685], [0.7430070571846626, -0.1889940300143315, -0.41727510363713843]]",bi7-3,-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[-0.019876837884028192, -0.13500846772625694, 2.6433389336028528], [0.058960872770021114, -0.013098631088248795, -2.609186970775343], [1.9995271405119222, 3.440500183726861, 0.0055694741925097525], [2.182301473645271, -3.4146903611970143, 0.0018859235341502608], [-3.876009320780077, -0.04620006450067728, -0.10662321065915281], [2.686685580249978, 0.8788807647021997, 1.170240762241824], [-0.7231814422535264, 2.6876663395860807, -1.1281799802407617], [-0.7245265358206372, -2.844085714148868, 1.3307087984431398], [2.5563381952737982, -0.7456245073740003, -1.3461931620805148], [-2.0899831497384005, 1.8003311123528012, 1.3896992111519633], [-2.005649323062989, -1.9338722073811754, -1.1287178429113713]]",[-64251.62890625],"[[0.18369698893880684, 0.12228425345458566, -0.46811427438484987], [-0.9749474296883317, 0.22639218593287824, 0.405247013618258], [-0.38643830375974064, 0.1931157677647531, -0.15732871739743157], [-0.7585529839104747, 0.25436102149670525, 0.2080057542903981], [-0.5754080625468474, 0.42381038867785736, 0.2901408213491143], [-0.5377994874295642, -0.4001874911837313, 0.30711571657778275], [0.5327580655712729, -0.3915663204202489, -0.09243156956580452], [1.1894567415889452, 0.35422663141982624, -0.03554919234051905], [0.48630381083867846, -0.3748883877704425, 0.40551003761667864], [0.35688037129988365, -0.3719171678969834, -0.03909128999025693], [0.47759162297310326, -0.04755668781172259, -0.8112488006966954]]",bi11-3,-3
"['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi']","[[12.113532788212485, 20.408680912631297, 15.533031902160698], [9.059068774009571, 16.80166847661468, 14.472459010472386], [7.606927460407657, 19.46867274768858, 15.461126352812094], [9.892739283380045, 19.7218321761352, 13.734424802758442], [11.265797525782796, 18.62172073239272, 18.05633543149374], [10.741433007211397, 16.14520065971645, 16.45221486911998], [8.35473103078136, 19.68348873184894, 18.21546128762385]]",[-40889.88671875],"[[-0.2796687123992876, -0.47564920488584206, 0.4130257876775122], [-1.365070897640998, 0.9082817732831596, -1.434563226420204], [-0.8926134619793924, -0.4207962827800224, 0.26244097474633094], [0.9827486752016054, 0.15791302662403056, -0.40774206492370624], [-0.40179700265011764, 0.5068171630330011, -0.726636834330858], [1.3442254101571742, -0.5066686046104327, 1.6926568747003614], [0.6101441996285927, -0.1684258104482953, 0.20901876949448153]]",bi7-3,-3
