idx,config_id,true_energy,oob_models_energy,oob_models_force,energy_std_oob,force_std_rms_oob,source
2226,12176d37cf3bb9c75b030ad5103b7913cefb40c9,-64250.09765625,2,2,0.014355215501806408,0.1161215146514965,bi11-3_samples
2227,b743ee61f4ea55467dd7b92e00e2d7dfba7d11ba,-64250.49609375,2,2,0.3258465603258228,0.07093550011228202,bi11-3_samples
2228,c2618fea1effd5a3a7065fe56f16818ea476a726,-64250.69921875,2,2,0.13618717284336526,0.07909468320204022,bi11-3_samples
2229,c8016b3571980daa446bd8886d04bed3bb0c3222,-64250.46484375,2,2,0.134720555148732,0.07427490698857064,bi11-3_samples
2230,02a036b3da488782ce71121b7b8df1d9c6966ac0,-64250.07421875,3,3,0.25363320744852996,0.13895404083311266,bi11-3_samples
2231,36c98bcde9f8bb0b97c67fef225ca62c9ae19a30,-64250.72265625,2,2,0.11356593287508347,0.060202915980988946,bi11-3_samples
2232,86e34ab864e6557cf62f32f166c35c0a2ba4b8b5,-64250.609375,2,2,0.37880445846969646,0.0556725028292449,bi11-3_samples
2233,7486478c658c9a1b0ce77c17bfcfc63e2ab33f31,-64250.0625,3,3,0.29749037453792593,0.12277227452710543,bi11-3_samples
2234,3543ec59c2542631e90ba722c58be69ff7b92a86,-64250.41015625,3,3,0.20991911059027468,0.0863905222857636,bi11-3_samples
2235,fd1b18a5746dc8723066633049ac5a45aba1a8ba,-64250.32421875,2,2,0.04370419409333213,0.08900760955342234,bi11-3_samples
2236,7dee76b46f84d8c496c941cda2a0948d12a59733,-64250.421875,5,5,0.2753528554293744,0.093988544115047,bi11-3_samples
2237,36dc1e110a11472f89c221c546beffdd71412218,-64249.671875,2,2,0.2645100754243653,0.10791778844944022,bi11-3_samples
2238,119ef3ff5b1ae5567588081be1bcb02aef3024a9,-64250.515625,2,2,0.00045812177076887947,0.043176713051757055,bi11-3_samples
2239,7df9ae2c2efff5caa5273cc3543836494ba3b0f8,-64249.9375,3,3,0.34329366954438056,0.12892547259580583,bi11-3_samples
2240,7a196ced6ec791f5bc4a92c519e9414467039f1d,-64249.203125,2,2,0.19678031476030805,0.15462136025883969,bi11-3_samples
2241,311f278dedecfda4afe784cf938145c382cc2a66,-64249.4765625,1,1,0.0,0.0,bi11-3_samples
2242,5283fc545c9e2c0b6bc75ec07f44989200d54cf4,-64250.34765625,3,3,0.2424805693433347,0.0823587858166752,bi11-3_samples
2243,f45fcc472148fd59658d59dd694265eb30cae5ba,-64250.39453125,4,4,0.24021572559856164,0.13869984730224139,bi11-3_samples
2244,14f2e72fdc802fc5237792c5306574622b531f5d,-64248.5703125,2,2,0.04407858275823652,0.0847942360947469,bi11-3_samples
